 NLC,Station,time period,NR/DLR/Tram,Bus/Coach,Bicycle,Motorcycle,Car/VanParked,Car/Vandrivenaway,Walked,Taxi/Minicab,RiverBus/Ferry,Other,Not Stated,Heathrow Terminal 1,Heathrow Terminal 2,Heathrow Terminal 3,Heathrow Terminal 4,Heathrow Terminal 5,Total all modes,
500,Acton Town,Early ,0,47,13,0,0,0,468,0,0,28,65,0,0,0,0,0,622,
500,Acton Town,AM peak,0,249,32,0,15,13,2289,0,0,198,424,0,0,0,0,0,3219,
500,Acton Town,Midday,0,262,55,0,53,31,1844,0,0,62,129,0,0,0,0,0,2436,
500,Acton Town,PM Peak,0,148,0,1,65,2,1607,0,0,0,7,0,0,0,0,0,1830,
500,Acton Town,Evening,0,26,40,0,36,67,440,0,0,6,6,0,0,0,0,0,621,
500,Acton Town,Late,0,0,60,0,0,47,95,0,0,0,12,0,0,0,0,0,214,
500,Acton Town,Total day,0,731,201,1,170,160,6743,0,0,294,643,0,0,0,0,0,8941,
502,Aldgate,Early ,84,96,0,0,0,0,24,4,0,0,26,0,0,0,0,0,234,
502,Aldgate,AM peak,1004,509,2,0,10,12,624,8,0,0,284,0,0,0,0,0,2451,
502,Aldgate,Midday,171,274,0,0,0,10,2005,0,0,0,331,0,0,0,0,0,2791,
502,Aldgate,PM Peak,89,196,5,0,0,0,5956,16,0,0,451,0,0,0,0,0,6714,
502,Aldgate,Evening,38,65,0,0,0,0,1374,0,0,0,65,0,0,0,0,0,1542,
502,Aldgate,Late,0,2,0,0,0,0,403,1,0,0,0,0,0,0,0,0,406,
502,Aldgate,Total day,1387,1141,7,0,10,21,10386,29,0,0,1157,0,0,0,0,0,14138,
503,Aldgate East,Early,0,8,0,0,0,11,262,0,0,0,10,0,0,0,0,0,291,
503,Aldgate East,AM peak,0,27,7,0,0,102,2480,0,0,0,676,0,0,0,0,0,3293,
503,Aldgate East,Midday,0,81,0,0,4,0,4295,31,0,0,1649,0,0,0,0,0,6060,
503,Aldgate East,PM Peak,0,138,0,0,0,0,3754,0,0,0,3863,0,0,0,0,0,7755,
503,Aldgate East,Evening,0,0,0,0,0,0,2083,0,0,0,814,0,0,0,0,0,2897,
503,Aldgate East,Late,0,0,0,0,0,22,881,5,0,0,249,0,0,0,0,0,1157,
503,Aldgate East,Total day,0,254,7,0,4,135,13755,36,0,0,7261,0,0,0,0,0,21453,
505,Alperton,Early,0,169,0,0,0,0,343,0,0,0,31,0,0,0,0,0,543,
505,Alperton,AM peak,0,911,0,0,17,45,843,0,0,0,7,0,0,0,0,0,1824,
505,Alperton,Midday,54,389,0,0,0,0,581,0,0,0,86,0,0,0,0,0,1110,
505,Alperton,PM Peak,7,167,0,0,0,30,691,0,0,0,6,0,0,0,0,0,901,
505,Alperton,Evening,0,28,0,0,0,0,286,0,0,0,15,0,0,0,0,0,328,
505,Alperton,Late,0,31,0,0,0,0,78,0,0,0,3,0,0,0,0,0,112,
505,Alperton,Total day,61,1694,0,0,17,75,2822,0,0,0,148,0,0,0,0,0,4817,
506,Amersham,Early,0,0,5,0,98,185,227,0,0,0,0,0,0,0,0,0,514,
506,Amersham,AM peak,80,2,14,0,368,480,620,0,0,0,1,0,0,0,0,0,1566,
