 RODS report1d created at 13:27:20 on 29-03-2017,,,,,,,,,,,,,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
" Report 1d - Analysis by age, sex and zone",,,,,Sex,Age,,,,,,,,,,MIP,Mobility,Hearing,Mental Health,,Visual,Learning,Serious long-,
 station name,time period,Total,Male,Female,Not stated,Not Stated,Under 16  ,16-19     ,20-24     ,25-34     ,35-44     ,45-59     ,60-64     ,65-70     ,Over 70   ,Not given,impairement,impairment,condition,None,impairment,disability,term illness,Other
zone 1,Early       ,39264,576,300,38388,38383,0,6,37,260,217,160,152,48,0,39261,0,0,0,3,0,0,0,0
zone 1,AM peak     ,450104,218736,219494,11874,9625,529,6919,47301,109943,97739,127251,32313,13442,5043,178429,2773,1707,784,260451,1477,541,1382,2560
zone 1,Midday      ,661274,275881,333995,51399,51418,625,28805,107753,110214,94384,157623,46803,36555,27095,321520,6516,4786,2488,316726,1379,1038,3782,3039
zone 1,PM Peak     ,857135,331421,448840,76875,74729,1653,21127,122623,201581,149876,203485,40467,25964,15629,362214,5132,5522,2683,469489,2352,1727,3287,4729
zone 1,Evening     ,375597,145759,196369,33469,31845,567,5164,58432,115920,67319,77985,9205,6272,2888,179741,1414,1536,605,188047,940,251,1010,2053
zone 1,Late        ,156437,49373,51100,55964,55500,150,3149,19107,36440,17994,18305,2628,2288,877,110282,184,516,226,44597,136,64,126,306
zone 1,   Total day,2539811,1021746,1250098,267968,261500,3524,65170,355253,574358,427528,584808,131568,84569,51532,1191447,16020,14067,6786,1279313,6285,3621,9586,12686
zone 2,Early       ,54864,971,428,53465,53317,0,0,356,322,170,663,27,10,0,54851,0,0,0,14,0,0,0,0
zone 2,AM peak     ,405867,164623,222002,19242,17082,1028,5907,47867,145995,77425,74065,22061,9770,4667,214751,2281,1035,588,183274,464,630,1133,1711
zone 2,Midday      ,310985,125884,156884,28217,26942,700,16902,52037,68253,45941,59779,16569,13159,10703,193152,2076,1120,1057,108694,823,372,1578,2112
zone 2,PM Peak     ,340223,124142,166109,49972,50236,708,9842,45717,76383,59812,71988,13642,7338,4558,183125,1901,1312,842,148935,987,640,716,1765
zone 2,Evening     ,133463,53695,64491,15277,15307,76,3338,28210,35958,22702,22106,2962,1959,845,82815,529,407,176,48514,113,278,180,450
zone 2,Late        ,57325,20059,14843,22423,22554,74,753,7253,13011,6426,5644,1006,481,124,45878,416,94,175,10566,53,56,26,61
zone 2,   Total day,1302728,489375,624756,188597,185437,2586,36742,181440,339921,212475,234245,56268,32717,20898,774573,7204,3968,2837,499997,2441,1977,3633,6098
zone 3,Early       ,53159,498,332,52329,52327,0,58,89,314,118,226,26,1,0,53157,0,0,0,2,0,0,0,0
zone 3,AM peak     ,210045,83610,116260,10175,8501,1201,4272,27239,61066,44597,42498,13210,4656,2804,109437,1324,982,420,95269,616,220,844,933
zone 3,Midday      ,120532,49168,63682,7682,7915,409,6869,24474,25160,15974,20389,7285,6863,5193,78141,529,635,403,38939,116,468,702,600
zone 3,PM Peak     ,87930,32119,49676,6135,5721,535,3463,13952,21428,14977,19187,3966,3190,1510,48708,419,545,219,37173,148,34,306,379
zone 3,Evening     ,30978,13162,14759,3057,2775,1,1304,6963,8846,5038,4503,799,516,233,20773,50,78,94,9596,75,58,102,151
zone 3,Late        ,9451,3452,1667,4332,4311,13,188,1092,1216,966,1158,340,131,35,8356,2,15,6,1058,5,0,1,8
zone 3,   Total day,512095,182010,246375,83710,81549,2159,16154,73809,118031,81670,87961,25627,15358,9776,318572,2324,2255,1142,182038,959,780,1954,2071
zone 4,Early       ,36362,1067,927,34369,34354,2,41,338,426,457,654,72,15,4,36354,0,0,0,8,0,0,0,0
zone 4,AM peak     ,118893,50019,61487,7387,6515,335,4701,13001,26477,23007,28563,9512,4672,2110,76117,813,652,156,39476,415,475,368,420
zone 4,Midday      ,66875,28308,30585,7982,8392,243,4723,10614,9202,7611,11835,4857,5240,4159,51933,329,357,138,13286,159,119,134,421
zone 4,PM Peak     ,48436,19174,23507,5754,6094,74,2805,7676,9909,7918,8637,2675,1385,1262,33674,206,132,90,13581,230,30,182,310
zone 4,Evening     ,17029,6181,7697,3151,3043,6,733,2814,3689,3140,2614,491,379,120,14284,0,25,38,2537,2,17,50,75
zone 4,Late        ,6022,1654,846,3522,3504,0,55,581,425,693,497,156,90,21,5700,0,1,1,292,0,0,15,12
zone 4,   Total day,293617,106403,125050,62164,61901,660,13057,35025,50129,42826,52800,17762,11782,7675,218062,1348,1168,423,69179,806,641,749,1239
zone 5,Early       ,27692,1121,421,26150,26162,1,67,160,367,325,481,96,32,0,27690,0,0,0,2,0,0,0,0
zone 5,AM peak     ,93941,42584,44169,7188,6590,161,2727,8718,17518,17821,23998,9538,4365,2507,62199,536,478,102,29803,66,146,240,372
zone 5,Midday      ,56787,24661,26038,6087,6703,351,5478,6474,7002,5967,10863,5069,4584,4297,43462,245,398,152,12124,104,9,211,83
zone 5,PM Peak     ,40734,17065,19383,4286,4545,343,2725,6788,8141,5562,7629,2182,1293,1526,28680,283,102,79,11344,9,13,44,182
zone 5,Evening     ,13075,5493,4735,2847,2579,29,938,1956,2938,2022,1943,196,250,224,10288,56,23,5,2675,0,15,0,14
zone 5,Late        ,4417,932,534,2951,2978,0,57,333,395,165,255,100,15,119,4133,0,1,0,267,0,0,0,15
zone 5,   Total day,236646,91856,95280,49510,49557,885,11992,24428,36362,31862,45168,17181,10540,8671,176452,1119,1002,337,56214,179,183,495,665
,,,,,,,,,,,,,,,,,,,,,,,,
System total,Early       ,211342,4233,2408,204701,204543,3,173,980,1690,1286,2184,373,106,4,211313,0,0,0,29,0,0,0,0
System total,AM peak     ,1278850,559573,663412,55866,48312,3254,24526,144126,360999,260588,296374,86635,36905,17131,640932,7727,4854,2049,608273,3039,2012,3967,5996
System total,Midday      ,1216453,503901,611184,101368,101369,2328,62777,201353,219832,169877,260488,80583,66401,51447,688209,9695,7296,4237,489769,2581,2006,6407,6254
System total,PM Peak     ,1374459,523922,707515,143022,141325,3313,39962,196756,317442,238144,310926,62933,39172,24485,656401,7941,7612,3913,680520,3726,2444,4535,7365
System total,Evening     ,570141,224290,288051,57800,55549,679,11476,98376,167351,100221,109151,13653,9376,4309,307901,2049,2070,918,251368,1130,620,1341,2743
