NLC,Station,Time period,Ticket Type,Total passengers,Total passenger kilometres,Average journey length (kms),
500,Acton Town,Total day,Total all types,8941,95174.48,10.64,
502,Aldgate,Total day,Total all types,14138,127162.87,8.99,
503,Aldgate East,Total day,  Total all types,21453,162744.56,7.59,
505,Alperton,Total day,  Total all types,4817,53834.65,11.18,
506,Amersham,Total day,  Total all types,2627,100664.88,38.32,
507,Angel,Total day,  Total all types,31578,251885.19,7.98,
508,Archway,Total day,  Total all types,16392,138380.2,8.44,
509,Arnos Grove, ,Total day,  Total all types,7274,96351.05,13.25,
510,Arsenal,,Total day,  Total all types,4611,34620.67,7.51,
511,Baker Street,,Total day,  Total all types,46272,359770.44,7.78,
512,Balham, ,Total day,  Total all types,23269,210921.75,9.06,
513,Bank / Monument  ,Total day,  Total all types,151055,971370.31,6.43,
501,Barbican,  ,Total day,  Total all types,20109,150719.03,7.49,
514,Barking,,Total day,  Total all types,31660,361583.19,11.42,
515,Barkingside, ,Total day,  Total all types,2769,49575.84,17.91,
516,Barons Court,,Total day,  Total all types,12370,103661.55,8.38,
517,Bayswater, ,Total day,  Total all types,6993,42899.13,6.13,
518,Becontree, ,Total day,  Total all types,5834,75484.25,12.94,
519,Belsize Park,,Total day,  Total all types,10868,85042.77,7.82,
787,Bermondsey,,Total day,  Total all types,17329,131231.7,7.57,
520,Bethnal Green ,Total day,  Total all types,23186,164715.13,7.1,
521,Blackfriars, ,Total day,  Total all types,27725,179238.31,6.46,
522,Blackhorse Road  ,Total day,  Total all types,13573,160576.63,11.83,
524,Bond Street, ,Total day,  Total all types,60929,497319.47,8.16,
525,Borough,,Total day,  Total all types,9553,71791.91,7.52,
526,Boston Manor,,Total day,  Total all types,3917,53075.12,13.55,
527,Bounds Green,,Total day,  Total all types,10744,133281.8,12.41,
528,Bow Road,  ,Total day,  Total all types,9186,68784.08,7.49,
529,Brent Cross, ,Total day,  Total all types,4062,45885.57,11.3,
778,Brixton,,Total day,  Total all types,52484,524349.81,9.99,
530,Bromley-by-Bow,Total day,  Total all types,6327,56148.41,8.87,
531,Buckhurst Hill,Total day,  Total all types,3627,64257.05,17.72,
532,Burnt Oak, ,Total day,  Total all types,7468,109208.54,14.62,
534,Caledonian Road  ,Total day,  Total all types,9255,64609.15,6.98,
535,Camden Town, ,Total day,  Total all types,30535,224416.41,7.35,
788,Canada Water,,Total day,  Total all types,75211,543408.06,7.23,
852,Canary Wharf,,Total day,  Total all types,93145,928042.94,9.96,
884,Canning Town,,Total day,  Total all types,45979,431628.06,9.39,
536,Cannon Street ,Total day,  Total all types,14267,88115.97,6.18,
537,Canons Park, ,Total day,  Total all types,4800,85440.3,17.8,
539,Chalfont & Latimer  ,Total day,  Total all types,2292,70390.34,30.72,
540,Chalk Farm,,Total day,  Total all types,8671,64819.31,7.48,
541,Chancery Lane ,Total day,  Total all types,32919,256458.52,7.79,
718,Charing Cross ,Total day,  Total all types,33523,213777.09,6.38,
543,Chesham,,Total day,  Total all types,1890,63641.03,33.68,
544,Chigwell,  ,Total day,  Total all types,1090,19378.94,17.79,
545,Chiswick Park ,Total day,  Total all types,3478,35442.03,10.19,
546,Chorleywood, ,Total day,  Total all types,1770,51807.16,29.27,
547,Clapham Common,Total day,  Total all types,14269,125919.11,8.82,
548,Clapham North ,Total day,  Total all types,9447,70544.01,7.47,
549,Clapham South ,Total day,  Total all types,13887,129650.18,9.34,
550,Cockfosters, ,Total day,  Total all types,2912,56813.44,19.51,
551,Colindale, ,Total day,  Total all types,10229,150627.28,14.72,
552,Colliers Wood ,Total day,  Total all types,10690,131171.16,12.27,
553,Covent Garden ,Total day,  Total all types,21908,152807.33,6.98,
554,Croxley,,Total day,  Total all types,1980,45628.09,23.04,
555,Dagenham East ,Total day,  Total all types,5006,75018.52,14.99,
556,Dagenham Heathway,Total day,  Total all types,9919,147913.36,14.91,
557,Debden, ,Total day,  Total all types,4348,82267.48,18.92,
558,Dollis Hill, ,Total day,  Total all types,6912,77312.81,11.19,
560,Ealing Broadway  ,Total day,  Total all types,30501,382447.69,12.54,
561,Ealing Common ,Total day,  Total all types,5063,50308.63,9.94,
562,Earl's Court,,Total day,  Total all types,30495,248194.09,8.14,
563,East Acton,,Total day,  Total all types,6524,59973.01,9.19,
565,East Finchley ,Total day,  Total all types,12286,134160.56,10.92,
566,East Ham,  ,Total day,  Total all types,23334,275612.41,11.81,
567,East Putney, ,Total day,  Total all types,10473,95214.58,9.09,
564,Eastcote,  ,Total day,  Total all types,4820,79858.29,16.57,
568,Edgware,,Total day,  Total all types,8379,120844.74,14.42,
774,Edgware Road (Bak)  ,Total day,  Total all types,8009,63209.91,7.89,
569,Edgware Road (Cir)  ,Total day,  Total all types,11642,84911.14,7.29,
570,Elephant & Castle,Total day,  Total all types,31828,248223.27,7.8,
571,Elm Park,  ,Total day,  Total all types,5228,95967.92,18.36,
542,Embankment,,Total day,  Total all types,33703,209115.58,6.2,
572,Epping, ,Total day,  Total all types,5575,146597.31,26.3,
574,Euston, ,Total day,  Total all types,63795,373612.59,5.86,
575,Euston Square ,Total day,  Total all types,24392,186315.56,7.64,
576,Fairlop,,Total day,  Total all types,2019,36404.5,18.03,
577,Farringdon,,Total day,  Total all types,34478,261396.94,7.58,
578,Finchley Central ,Total day,  Total all types,11496,145881.3,12.69,
579,Finchley Road ,Total day,  Total all types,16145,150774.56,9.34,
580,Finsbury Park ,Total day,  Total all types,44765,333473.56,7.45,
581,Fulham Broadway  ,Total day,  Total all types,16288,140297.59,8.61,
582,Gants Hill,,Total day,  Total all types,11320,161188.31,14.24,
583,Gloucester Road  ,Total day,  Total all types,21789,169482.91,7.78,
584,Golders Green ,Total day,  Total all types,13503,140022.16,10.37,
585,Goldhawk Road ,Total day,  Total all types,3483,28379.85,8.15,
586,Goodge Street ,Total day,  Total all types,13339,89726.01,6.73,
587,Grange Hill, ,Total day,  Total all types,1211,25720.36,21.23,
588,Great Portland Stree,Total day,  Total all types,15599,140665.94,9.02,
590,Green Park,,Total day,  Total all types,59879,432753.56,7.23,
589,Greenford, ,Total day,  Total all types,7719,127224.69,16.48,
