 NLC,Station name,Journey Purpose,Total,Not Stated    ,5 or more days per week,1-4 days per week   ,Once a fortnight    ,Once a month  ,Less than once a month,First Time Ever
500,Acton Town    ,Home    ,2244,46,1274,580,131,4,70,138
500,Acton Town    ,Work    ,3160,11,1967,890,27,26,105,135
500,Acton Town    ,Shop    ,265,0,0,118,0,10,52,85
500,Acton Town    ,Education     ,315,0,85,205,0,24,0,0
500,Acton Town    ,Tourist ,105,0,0,0,30,0,22,52
500,Acton Town    ,Hotel   ,70,0,0,1,13,0,0,57
500,Acton Town    ,Other   ,1328,1,148,237,119,287,337,199
500,Acton Town    ,Unknown/Not Given   ,1455,1192,97,54,0,0,16,96
502,Aldgate ,Home    ,8479,66,5558,1902,175,148,300,330
502,Aldgate ,Work    ,2765,60,1743,506,89,27,234,105
502,Aldgate ,Shop    ,176,0,0,0,68,0,47,60
502,Aldgate ,Education     ,549,22,298,178,23,28,0,0
502,Aldgate ,Tourist ,106,0,83,0,18,0,0,5
502,Aldgate ,Hotel   ,92,0,3,69,0,0,0,19
502,Aldgate ,Other   ,1115,30,125,183,273,52,255,196
502,Aldgate ,Unknown/Not Given   ,857,785,45,8,0,0,0,20
503,Aldgate East  ,Home    ,7458,85,2712,2674,131,357,753,745
503,Aldgate East  ,Work    ,4571,0,2443,948,216,223,285,455
503,Aldgate East  ,Shop    ,496,73,3,58,145,13,73,130
503,Aldgate East  ,Education     ,1168,0,518,274,0,70,112,194
503,Aldgate East  ,Tourist ,87,0,0,68,0,0,19,0
503,Aldgate East  ,Hotel   ,173,0,80,0,0,0,0,93
503,Aldgate East  ,Other   ,1420,0,49,346,136,22,416,451
503,Aldgate East  ,Unknown/Not Given   ,6081,5870,50,0,0,88,4,69
505,Alperton,Home    ,1101,71,635,265,0,28,95,7
505,Alperton,Work    ,2021,21,1395,317,88,5,115,81
505,Alperton,Shop    ,165,11,19,113,10,12,0,0
505,Alperton,Education     ,318,0,73,246,0,0,0,0
505,Alperton,Tourist ,49,0,49,0,0,0,0,0
505,Alperton,Hotel   ,5,0,0,0,0,0,3,1
505,Alperton,Other   ,350,22,6,199,0,21,51,51
505,Alperton,Unknown/Not Given   ,808,667,137,4,0,0,0,0
506,Amersham,Home    ,119,0,61,51,0,0,1,5
506,Amersham,Work    ,1349,21,733,409,34,41,81,29
506,Amersham,Shop    ,47,3,17,6,6,9,4,2
506,Amersham,Education     ,18,0,15,2,0,0,1,0
506,Amersham,Tourist ,43,0,0,0,0,0,35,8
506,Amersham,Hotel   ,1,0,0,0,0,0,0,1
506,Amersham,Other   ,424,1,0,208,3,91,76,46
506,Amersham,Unknown/Not Given   ,627,618,3,5,0,0,0,0
507,Angel   ,Home    ,15543,154,7303,3997,755,602,1708,1024
507,Angel   ,Work    ,5968,180,3138,1189,205,286,452,518
507,Angel   ,Shop    ,984,5,89,147,82,116,212,335
507,Angel   ,Education     ,1495,28,775,506,102,0,40,43
507,Angel   ,Tourist ,167,0,0,10,0,0,0,157
507,Angel   ,Hotel   ,97,0,5,0,0,39,39,14
507,Angel   ,Other   ,4210,177,322,744,287,355,1073,1252
507,Angel   ,Unknown/Not Given   ,3115,2215,491,82,4,0,50,273
508,Archway ,Home    ,4155,30,2057,1278,234,88,337,131
508,Archway ,Work    ,7008,18,3931,2064,179,82,327,407
508,Archway ,Shop    ,390,1,0,68,45,21,166,89
508,Archway ,Education     ,655,0,337,191,3,0,46,77
508,Archway ,Tourist ,350,0,0,2,0,100,180,68
508,Archway ,Hotel   ,443,67,6,76,0,43,93,158
508,Archway ,Other   ,2387,110,169,554,165,222,656,512
508,Archway ,Unknown/Not Given   ,1004,900,2,98,0,0,0,5
509,Arnos Grove   ,Home    ,831,59,316,282,0,22,151,0
509,Arnos Grove   ,Work    ,2939,50,2076,359,44,200,93,117
509,Arnos Grove   ,Shop    ,288,7,4,1,104,88,75,9
509,Arnos Grove   ,Education     ,316,37,227,42,0,0,0,10
509,Arnos Grove   ,Tourist ,47,0,25,0,5,0,0,17
509,Arnos Grove   ,Hotel   ,15,0,0,0,0,0,15,0
509,Arnos Grove   ,Other   ,1460,204,123,235,394,121,230,153
509,Arnos Grove   ,Unknown/Not Given   ,1379,1288,12,0,11,4,59,5
510,Arsenal ,Home    ,398,15,73,118,2,45,73,71
510,Arsenal ,Work    ,2491,14,1489,624,170,78,43,74
510,Arsenal ,Shop    ,49,0,0,18,2,0,9,20
510,Arsenal ,Education     ,272,0,56,163,0,10,43,0
510,Arsenal ,Tourist ,116,0,0,5,1,0,62,48
510,Arsenal ,Hotel   ,108,0,0,54,38,0,15,1
510,Arsenal ,Other   ,922,45,53,142,124,132,322,105
510,Arsenal ,Unknown/Not Given   ,255,255,0,0,0,0,0,0
511,Baker Street  ,Home    ,17688,244,7398,4828,524,1092,2380,1222
511,Baker Street  ,Work    ,8111,230,2811,2922,389,450,506,803
511,Baker Street  ,Shop    ,829,0,22,152,0,0,416,239
511,Baker Street  ,Education     ,881,0,267,387,2,0,49,176
511,Baker Street  ,Tourist ,586,58,0,0,33,3,73,419
511,Baker Street  ,Hotel   ,804,2,32,265,39,0,79,387
511,Baker Street  ,Other   ,5267,220,79,764,765,475,1167,1796
