 RODS report1a created at 13:27:01 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
,,,,,,,,,,,
 Report 1a - Analysis by origin purpose for Heathrow Terminals 123,,,,,,,,,,,
,Total,Passenger  ,Work       ,Meeting    ,Crew       ,Business   ,Seeing off ,Hotel      ,Sightseeing,Other      ,Not stated
Early       ,393,0,0,0,0,0,0,0,0,0,393
AM peak     ,1818,922,144,49,131,13,91,121,0,234,114
Midday      ,3980,2353,735,44,22,173,272,86,36,188,72
PM Peak     ,2253,999,613,38,68,109,177,66,19,106,57
Evening     ,1835,598,380,192,98,92,235,0,0,58,182
Late        ,767,81,141,0,0,39,3,0,0,10,492
 Total day  ,11047,4952,2014,323,319,426,777,273,55,597,1310
 ,,,,,,,,,,,
 Report 1a - Analysis by journey purpose for Heathrow Terminals 123,,,,,,,,,,,
Origin,Destination,Home                ,Work                ,Shop                ,Education           ,Tourist             ,Hotel               ,Other               ,Unknown/Not Given   ,Total,
Early       ,Passenger  ,0,0,0,0,0,0,0,0,0,
Early       ,Work       ,0,0,0,0,0,0,0,0,0,
Early       ,Meeting    ,0,0,0,0,0,0,0,0,0,
Early       ,Crew       ,0,0,0,0,0,0,0,0,0,
Early       ,Business   ,0,0,0,0,0,0,0,0,0,
Early       ,Seeing off ,0,0,0,0,0,0,0,0,0,
Early       ,Hotel      ,0,0,0,0,0,0,0,0,0,
Early       ,Sightseeing,0,0,0,0,0,0,0,0,0,
Early       ,Other      ,0,0,0,0,0,0,0,0,0,
Early       ,Not stated ,0,0,0,0,0,0,0,393,393,
AM peak     ,Passenger  ,439,279,0,3,10,88,103,0,922,
AM peak     ,Work       ,91,49,0,0,0,0,0,3,144,
AM peak     ,Meeting    ,29,0,0,20,0,0,0,0,49,
AM peak     ,Crew       ,131,0,0,0,0,0,0,0,131,
AM peak     ,Business   ,0,13,0,0,0,0,0,0,13,
AM peak     ,Seeing off ,82,2,0,0,7,0,0,0,91,
AM peak     ,Hotel      ,0,58,0,0,27,0,35,0,121,
AM peak     ,Sightseeing,0,0,0,0,0,0,0,0,0,
AM peak     ,Other      ,4,78,7,47,0,0,71,28,234,
AM peak     ,Not stated ,0,2,0,0,8,0,0,105,114,
Midday      ,Passenger  ,979,295,42,1,43,627,365,0,2353,
Midday      ,Work       ,581,41,16,45,0,0,34,18,735,
Midday      ,Meeting    ,43,0,0,0,0,0,1,0,44,
Midday      ,Crew       ,22,0,0,0,0,0,0,0,22,
Midday      ,Business   ,64,36,28,0,0,0,45,0,173,
Midday      ,Seeing off ,203,11,18,5,0,0,34,0,272,
Midday      ,Hotel      ,26,0,9,0,0,0,51,0,86,
Midday      ,Sightseeing,13,0,0,0,0,23,0,0,36,
