 Purpose,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200
zone 1,Home : Home                             ,12278,0,0,0,0,0,0,0,0,28,54,126,14,159,28,118,44,119,88,63,59,93,92,60,75,64,193,88,9,90,73,80,453,54,44,43,67,32,74,231,132,411,258,144,237,115,190,599,285,906,630,542,690,1033,420,648,350,310,13,148,299,226,27,46,32,95,332,66,22,6,38,47,57,42,44,0,24,0,0,0,0,0,0,0,0
zone 1,Home : Work                             ,406575,0,0,0,0,2,4,138,395,15075,22036,25842,31706,36267,39517,40530,35460,29406,22845,15820,11590,6019,4723,4055,3623,2224,2982,2536,2574,1560,1856,1963,1743,2141,2094,1666,2028,1770,1575,1207,1262,899,1170,999,795,1259,1586,1036,1368,1046,1722,1034,1519,1754,1726,1328,1325,943,741,1112,441,692,731,372,577,379,485,516,748,270,186,200,150,31,819,74,297,6,4,0,0,0,0,0,0
zone 1,Home : Shop                             ,19125,0,0,0,0,0,0,0,0,16,0,0,0,5,128,15,34,84,104,205,381,403,624,878,831,755,815,659,810,297,807,699,590,650,676,374,503,199,898,707,433,499,405,615,260,305,658,361,648,296,222,62,308,218,165,47,35,128,96,12,0,0,1,52,26,93,26,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Home : Education                        ,41119,0,0,0,0,0,0,1,1,211,357,760,946,1123,1764,1651,1185,1459,1704,1374,768,1826,1807,1297,1265,1371,1155,1205,677,1562,1219,503,1337,864,693,695,929,983,590,324,425,281,236,406,485,168,899,984,361,315,877,241,253,171,113,85,77,170,332,43,82,16,83,92,19,30,23,33,79,44,0,0,21,0,0,0,56,8,6,0,0,0,0,0,0
zone 1,Home : Tourist                          ,9998,0,0,0,0,0,0,0,0,37,1,37,4,11,10,0,29,50,67,127,294,985,664,1051,796,357,139,422,165,324,473,724,52,152,600,172,147,130,187,269,245,457,114,0,0,141,0,52,4,194,104,0,42,44,8,22,32,14,0,30,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Home : Hotel                            ,11631,0,0,0,0,0,0,0,0,21,0,0,139,27,0,51,57,94,149,30,57,311,177,382,87,308,172,555,285,377,272,140,218,399,124,396,92,392,73,321,250,465,287,299,353,394,135,341,178,456,422,186,124,500,135,152,273,181,138,24,35,0,16,66,16,226,133,9,0,6,7,106,6,0,0,0,5,0,0,0,0,0,0,0,0
zone 1,Home : Other                            ,143270,0,0,0,0,0,0,6,12,478,620,796,568,691,1111,1187,1753,1416,2224,2627,2379,3406,3845,3652,4831,3458,4149,3875,3867,4332,3132,3442,3040,2034,2727,3624,2490,2483,2238,1981,2217,2164,2070,2469,2173,2636,1858,2832,3219,3452,3029,3009,4270,4864,4360,4043,4797,2014,1439,1233,1309,821,687,559,368,304,513,510,313,304,196,317,132,56,46,54,159,0,0,0,0,0,0,0,0
zone 1,Home : Unknown/Not Given                ,33183,0,0,13,0,0,0,1,24,788,370,930,402,432,643,906,1057,633,390,663,471,486,620,527,503,597,703,327,145,446,242,190,411,1161,47,177,630,384,264,624,232,245,506,240,598,506,528,929,499,937,1147,1290,847,1927,644,1200,1057,694,196,169,297,397,192,209,349,27,228,188,76,85,123,73,38,169,5,62,61,5,0,0,0,0,0,0,0
zone 1,Work : Home                             ,687563,0,1,0,0,4,8,66,134,1122,986,1290,1715,2026,2387,2287,1611,1357,932,1026,999,692,710,697,800,702,1144,895,1296,1838,1594,2293,2121,2269,2829,3365,2459,2990,4148,4014,4233,5227,7663,7996,11855,14659,17833,20112,25053,35299,41985,45158,46936,42068,39030,31124,26162,31169,25396,19674,18574,15675,13704,11202,9873,10428,8502,7755,6469,5419,5221,4865,3858,3782,3306,2755,2463,221,51,6,0,0,0,0,0
zone 1,Work : Work                             ,128960,0,0,0,0,0,0,4,17,355,243,459,699,1346,1483,1486,2175,2062,2459,2922,2801,2068,2656,2773,2144,2974,2576,3148,3531,3557,4380,3399,4406,3947,4037,4077,3859,4055,3837,3853,3233,3396,2715,3129,3514,3217,2145,2246,2432,2568,2074,2142,2245,1720,1919,1112,1224,646,422,335,295,268,139,289,190,129,289,120,245,221,103,102,100,67,20,12,140,0,0,13,0,0,0,0,0
zone 1,Work : Shop                             ,15805,0,0,0,0,0,0,0,0,51,0,41,0,0,0,13,1,0,17,43,3,13,2,183,5,85,58,32,290,372,835,871,349,834,901,578,155,180,184,209,218,252,77,267,131,385,197,589,444,623,582,624,1006,946,880,506,729,167,386,187,118,42,3,65,0,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Work : Education                        ,11255,0,0,0,0,0,0,0,0,11,0,16,62,16,26,48,65,34,37,23,0,0,20,1,12,24,6,150,54,53,83,145,244,142,132,60,81,305,245,334,159,279,414,191,488,355,373,601,808,841,1091,800,868,550,369,199,198,95,92,4,18,21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Work : Tourist                          ,2195,0,0,0,0,0,0,0,0,0,4,0,0,11,0,1,0,0,0,3,0,84,1,287,48,0,2,1,28,40,0,143,118,45,283,0,32,14,7,146,0,41,0,0,0,9,2,25,0,0,246,257,180,45,18,47,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Work : Hotel                            ,21976,0,0,0,0,0,0,0,0,40,0,0,0,0,0,609,23,5,2,0,22,34,0,54,0,142,0,106,318,22,15,67,63,108,225,99,35,0,175,53,215,221,460,121,858,792,511,1163,1396,1037,1506,1827,1834,697,1776,1396,1295,202,347,307,165,242,85,246,151,194,131,152,76,22,48,112,53,16,48,43,16,0,0,0,0,0,0,0,0
