NLC,Station name,Time period,all modes,Work,Home,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given   ,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given
500,Acton Town    ,Early ,622,0,0,0,0,0,0,0,0,0,622,0,0,0,0,0,0,0,622
500,Acton Town    ,AM peak     ,3219,2169,27,2584,44,0,9,0,6,153,424,63,2286,0,126,22,0,235,488
500,Acton Town    ,Midday,2436,584,291,1480,454,0,276,30,28,123,45,549,684,255,165,76,57,609,40
500,Acton Town    ,PM Peak     ,1830,54,1036,454,1090,0,58,66,89,41,31,1255,64,10,24,6,0,381,89
500,Acton Town    ,Evening     ,621,116,128,247,159,3,0,0,0,173,38,291,116,0,0,0,13,94,108
500,Acton Town    ,Late  ,214,11,17,20,17,1,0,0,30,31,116,85,11,0,0,0,0,10,108
500,Acton Town    ,   Total day,8941,2933,1499,4785,1765,3,343,96,152,521,1275,2244,3160,265,315,105,70,1328,1455
502,Aldgate ,Early ,234,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,234
502,Aldgate ,AM peak     ,2451,1906,40,2119,89,0,163,0,13,67,0,67,2017,0,220,0,7,114,27
502,Aldgate ,Midday,2791,105,806,382,1666,55,172,44,101,371,0,1352,561,126,222,5,18,485,22
502,Aldgate ,PM Peak     ,6714,64,5114,89,5648,25,349,0,0,137,467,5476,126,50,107,101,62,488,302
502,Aldgate ,Evening     ,1542,31,1254,31,1346,0,26,0,0,79,61,1366,61,0,0,0,3,27,85
502,Aldgate ,Late  ,406,0,138,0,138,0,3,0,0,77,186,219,0,0,0,0,0,0,186
502,Aldgate ,   Total day,14138,2106,7352,2621,8886,79,713,44,115,731,949,8479,2765,176,549,106,92,1115,857
503,Aldgate East  ,Early ,291,10,0,10,0,0,0,0,0,0,280,0,10,0,0,0,0,0,280
503,Aldgate East  ,AM peak     ,3293,2184,198,2433,332,7,95,0,19,179,226,293,2505,0,166,19,0,33,277
503,Aldgate East  ,Midday,6060,747,603,1469,1639,478,1037,0,137,559,741,1552,1825,341,918,68,0,667,690
503,Aldgate East  ,PM Peak     ,7755,27,1849,217,2468,0,896,0,82,552,3541,3074,218,155,83,0,151,534,3541
503,Aldgate East  ,Evening     ,2897,0,1256,179,1262,17,229,4,0,516,691,2008,0,0,0,0,20,185,684
503,Aldgate East  ,Late  ,1157,10,270,10,274,0,0,0,0,262,612,531,13,0,0,0,2,1,610
503,Aldgate East  ,   Total day,21453,2977,4176,4318,5975,503,2256,4,239,2068,6091,7458,4571,496,1168,87,173,1420,6081
