 RODS report2d created at 13:27:39 on 29-03-2017,,,,,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
" Report 2d - Analysis by age, sex and exit station",,,,,,Sex,Age,,,,,,,,,
 NLC, station name,time period,Total,Male,Female,Not stated,Not Stated,Under 16  ,16-19     ,20-24     ,25-34     ,35-44     ,45-59     ,60-64     ,65-70     ,Over 70   
500,Acton Town          ,Early       ,283,0,0,283,283,0,0,0,0,0,0,0,0,0
500,Acton Town          ,AM peak     ,2024,641,996,387,381,0,219,150,437,220,379,71,141,24
500,Acton Town          ,Midday      ,1828,803,872,154,117,20,55,282,300,222,475,93,109,155
500,Acton Town          ,PM Peak     ,2770,1097,1656,17,54,0,40,668,870,461,407,200,42,28
500,Acton Town          ,Evening     ,1749,937,765,47,49,1,11,222,527,365,495,28,8,44
500,Acton Town          ,Late        ,950,252,351,347,335,3,4,238,111,81,175,0,2,0
500,Acton Town          ,   Total day,9604,3730,4639,1235,1219,24,329,1561,2244,1350,1932,392,303,251
502,Aldgate             ,Early       ,359,2,0,357,357,0,0,0,0,0,2,0,0,0
502,Aldgate             ,AM peak     ,6207,2995,2433,778,729,0,28,476,1356,1459,1587,371,146,55
502,Aldgate             ,Midday      ,2975,1410,1191,374,297,0,44,503,702,279,643,290,133,85
502,Aldgate             ,PM Peak     ,2780,1033,1255,493,493,0,0,212,796,174,803,152,113,36
502,Aldgate             ,Evening     ,994,227,532,235,235,0,0,271,85,105,293,5,0,0
502,Aldgate             ,Late        ,290,164,84,42,29,0,0,0,125,136,0,0,0,0
502,Aldgate             ,   Total day,13604,5830,5495,2279,2139,0,72,1462,3065,2153,3328,818,392,176
503,Aldgate East        ,Early       ,428,0,0,428,428,0,0,0,0,0,0,0,0,0
503,Aldgate East        ,AM peak     ,7579,3903,2988,688,602,0,222,911,2013,1799,1660,163,209,0
503,Aldgate East        ,Midday      ,5466,1411,3240,815,779,0,309,1147,853,894,1124,194,97,70
503,Aldgate East        ,PM Peak     ,4012,1306,1726,981,983,0,276,673,857,281,793,67,13,70
503,Aldgate East        ,Evening     ,2155,738,1251,166,166,0,165,493,938,190,202,0,1,0
503,Aldgate East        ,Late        ,1054,406,326,323,323,0,0,82,533,20,83,5,0,8
503,Aldgate East        ,   Total day,20696,7763,9530,3402,3281,0,972,3306,5193,3183,3862,429,319,149
505,Alperton            ,Early       ,122,0,0,122,122,0,0,0,0,0,0,0,0,0
505,Alperton            ,AM peak     ,855,304,362,190,201,63,12,35,198,93,170,71,2,11
505,Alperton            ,Midday      ,987,705,280,1,53,0,226,263,119,75,13,24,132,82
505,Alperton            ,PM Peak     ,1857,750,1013,94,88,0,389,393,446,105,255,73,52,55
505,Alperton            ,Evening     ,783,342,420,21,21,0,54,241,232,114,25,0,10,86
505,Alperton            ,Late        ,377,0,335,42,42,0,36,0,0,300,0,0,0,0
505,Alperton            ,   Total day,4981,2101,2409,471,527,63,717,932,994,687,463,169,195,234
506,Amersham            ,Early       ,50,0,0,50,50,0,0,0,0,0,0,0,0,0
506,Amersham            ,AM peak     ,364,63,83,217,199,0,52,20,37,28,16,5,4,3
506,Amersham            ,Midday      ,448,271,173,3,3,12,43,8,12,79,110,132,17,31
506,Amersham            ,PM Peak     ,614,202,413,0,0,26,9,7,213,116,135,91,14,4
506,Amersham            ,Evening     ,466,385,81,0,0,0,0,7,58,19,340,21,0,19
