NLC,Station,Total day   ,     Total all types,Total_passengers,Total_passenger_kilometres,Average_journey_length
500,Acton Town          ,   Total day,     Total all types,9604,99744.09,10.39
502,Aldgate             ,   Total day,     Total all types,13604,131857.53,9.69
503,Aldgate East        ,   Total day,     Total all types,20696,157125.02,7.59
505,Alperton            ,   Total day,     Total all types,4981,63026.88,12.65
506,Amersham            ,   Total day,     Total all types,2374,41738.02,17.58
507,Angel               ,   Total day,     Total all types,31781,237601.91,7.48
508,Archway             ,   Total day,     Total all types,15809,133377.66,8.44
509,Arnos Grove         ,   Total day,     Total all types,7168,93374.6,13.03
510,Arsenal             ,   Total day,     Total all types,4483,31566.72,7.04
511,Baker Street        ,   Total day,     Total all types,47009,386299,8.22
512,Balham              ,   Total day,     Total all types,23937,215954.19,9.02
513,Bank / Monument     ,   Total day,     Total all types,134408,928262.94,6.91
501,Barbican            ,   Total day,     Total all types,20861,171887.09,8.24
514,Barking             ,   Total day,     Total all types,26736,285908.84,10.69
515,Barkingside         ,   Total day,     Total all types,2569,47423.84,18.46
516,Barons Court        ,   Total day,     Total all types,11284,107099.75,9.49
517,Bayswater           ,   Total day,     Total all types,6166,38894.43,6.31
518,Becontree           ,   Total day,     Total all types,5833,69518.31,11.92
519,Belsize Park        ,   Total day,     Total all types,10051,83426.48,8.3
787,Bermondsey          ,   Total day,     Total all types,16825,126955.82,7.55
520,Bethnal Green       ,   Total day,     Total all types,23931,172093.77,7.19
521,Blackfriars         ,   Total day,     Total all types,25639,173604.42,6.77
522,Blackhorse Road     ,   Total day,     Total all types,12811,147830.44,11.54
524,Bond Street         ,   Total day,     Total all types,62427,503759.72,8.07
525,Borough             ,   Total day,     Total all types,9287,72991.87,7.86
526,Boston Manor        ,   Total day,     Total all types,3567,50138.35,14.05
527,Bounds Green        ,   Total day,     Total all types,10012,126509.57,12.64
528,Bow Road            ,   Total day,     Total all types,9023,71493.61,7.92
529,Brent Cross         ,   Total day,     Total all types,3848,44429.62,11.55
778,Brixton             ,   Total day,     Total all types,50599,484037.06,9.57
530,Bromley-by-Bow      ,   Total day,     Total all types,6206,55748.9,8.98
531,Buckhurst Hill      ,   Total day,     Total all types,3521,61602.12,17.49
532,Burnt Oak           ,   Total day,     Total all types,7321,102169.27,13.95
534,Caledonian Road     ,   Total day,     Total all types,8910,66812.62,7.5
535,Camden Town         ,   Total day,     Total all types,31678,236899.63,7.48
788,Canada Water        ,   Total day,     Total all types,74303,573649.75,7.72
852,Canary Wharf        ,   Total day,     Total all types,100162,999501.31,9.98
884,Canning Town        ,   Total day,     Total all types,49290,470621.78,9.55
536,Cannon Street       ,   Total day,     Total all types,13590,81545.07,6
537,Canons Park         ,   Total day,     Total all types,4742,85116.55,17.95
539,Chalfont & Latimer  ,   Total day,     Total all types,1428,33666.13,23.58
540,Chalk Farm          ,   Total day,     Total all types,7680,63489.92,8.27
541,Chancery Lane       ,   Total day,     Total all types,33913,285668.47,8.42
718,Charing Cross       ,   Total day,     Total all types,27620,172037.86,6.23
543,Chesham             ,   Total day,     Total all types,1834,61102.14,33.31
544,Chigwell            ,   Total day,     Total all types,792,17352.63,21.91
545,Chiswick Park       ,   Total day,     Total all types,4052,42470.59,10.48
546,Chorleywood         ,   Total day,     Total all types,1246,32022.24,25.69
547,Clapham Common      ,   Total day,     Total all types,16371,142031.27,8.68
548,Clapham North       ,   Total day,     Total all types,11566,91861.47,7.94
549,Clapham South       ,   Total day,     Total all types,14362,134801.13,9.39
550,Cockfosters         ,   Total day,     Total all types,3140,63258.1,20.15
551,Colindale           ,   Total day,     Total all types,10059,137626.28,13.68
552,Colliers Wood       ,   Total day,     Total all types,10364,133029.91,12.84
553,Covent Garden       ,   Total day,     Total all types,23530,161403.45,6.86
554,Croxley             ,   Total day,     Total all types,1718,45787.23,26.65
555,Dagenham East       ,   Total day,     Total all types,4853,68798.16,14.18
556,Dagenham Heathway   ,   Total day,     Total all types,9748,136597.59,14.01
557,Debden              ,   Total day,     Total all types,3938,75754.15,19.24
558,Dollis Hill         ,   Total day,     Total all types,6346,69634.2,10.97
560,Ealing Broadway     ,   Total day,     Total all types,34635,444481.5,12.83
561,Ealing Common       ,   Total day,     Total all types,4953,52481.98,10.6
562,Earl's Court        ,   Total day,     Total all types,29802,243845.02,8.18
563,East Acton          ,   Total day,     Total all types,6560,59079.55,9.01
565,East Finchley       ,   Total day,     Total all types,12478,140476.05,11.26
566,East Ham            ,   Total day,     Total all types,23204,269503.53,11.61
