 RODS report2b created at 13:27:32 on 29-03-2017,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,
,,,,,,
 Report 2b - Analysis of distance by ticket type and exit station,,,,,,
 NLC,Station name,Time period,Ticket Type,Total passengers,Total passenger kilometres,Average journey length (kms)
500,Acton Town          ,Early       ,Not Stated/Other    ,283,2162.24,7.64
500,Acton Town          ,Early       ,     Total all types,283,2162.24,7.64
500,Acton Town          ,AM peak     ,Daily (inc T/Card)  ,686,6730.98,9.81
500,Acton Town          ,AM peak     ,Weekly              ,402,4359.42,10.84
500,Acton Town          ,AM peak     ,Periods             ,431,4014.19,9.32
500,Acton Town          ,AM peak     ,All Permits         ,131,1504.46,11.48
500,Acton Town          ,AM peak     ,Not Stated/Other    ,374,3764.88,10.07
500,Acton Town          ,AM peak     ,     Total all types,2024,20373.93,10.07
500,Acton Town          ,Midday      ,Daily (inc T/Card)  ,851,9039.78,10.62
500,Acton Town          ,Midday      ,Weekly              ,161,1379.6,8.59
500,Acton Town          ,Midday      ,Periods             ,250,2267.39,9.08
500,Acton Town          ,Midday      ,All Permits         ,443,4353.24,9.83
500,Acton Town          ,Midday      ,Not Stated/Other    ,124,906.45,7.32
500,Acton Town          ,Midday      ,     Total all types,1828,17946.46,9.82
500,Acton Town          ,PM Peak     ,Daily (inc T/Card)  ,1120,13284.83,11.86
500,Acton Town          ,PM Peak     ,Weekly              ,784,7209.46,9.2
500,Acton Town          ,PM Peak     ,Periods             ,716,7145.01,9.97
500,Acton Town          ,PM Peak     ,All Permits         ,140,1410.53,10.09
500,Acton Town          ,PM Peak     ,Not Stated/Other    ,9,59.87,6.56
500,Acton Town          ,PM Peak     ,     Total all types,2770,29109.7,10.51
500,Acton Town          ,Evening     ,Daily (inc T/Card)  ,628,7345.95,11.69
500,Acton Town          ,Evening     ,Weekly              ,374,4199.82,11.23
500,Acton Town          ,Evening     ,Periods             ,451,4751.3,10.54
500,Acton Town          ,Evening     ,All Permits         ,75,878.56,11.66
500,Acton Town          ,Evening     ,Not Stated/Other    ,221,2494.71,11.3
500,Acton Town          ,Evening     ,     Total all types,1749,19670.34,11.24
500,Acton Town          ,Late        ,Daily (inc T/Card)  ,284,3699.81,13.04
500,Acton Town          ,Late        ,Weekly              ,244,2177.56,8.91
500,Acton Town          ,Late        ,Periods             ,67,608.87,9.14
500,Acton Town          ,Late        ,All Permits         ,20,416.44,20.63
500,Acton Town          ,Late        ,Not Stated/Other    ,335,3578.74,10.68
500,Acton Town          ,Late        ,     Total all types,950,10481.42,11.03
500,Acton Town          ,   Total day,Daily (inc T/Card)  ,3570,40101.35,11.23
500,Acton Town          ,   Total day,Weekly              ,1965,19325.86,9.83
500,Acton Town          ,   Total day,Periods             ,1914,18786.76,9.81
500,Acton Town          ,   Total day,All Permits         ,809,8563.23,10.58
500,Acton Town          ,   Total day,Not Stated/Other    ,1346,12966.89,9.64
500,Acton Town          ,   Total day,     Total all types,9604,99744.09,10.39
502,Aldgate             ,Early       ,Periods             ,2,37.66,22.71
502,Aldgate             ,Early       ,Not Stated/Other    ,357,5643.39,15.81
502,Aldgate             ,Early       ,     Total all types,359,5681.05,15.84
502,Aldgate             ,AM peak     ,Daily (inc T/Card)  ,2383,27331.35,11.47
502,Aldgate             ,AM peak     ,Weekly              ,901,7374.11,8.19
502,Aldgate             ,AM peak     ,Periods             ,2010,20878.86,10.39
502,Aldgate             ,AM peak     ,All Permits         ,35,564.32,16.29
502,Aldgate             ,AM peak     ,Not Stated/Other    ,879,14578.76,16.59
502,Aldgate             ,AM peak     ,     Total all types,6207,70727.4,11.4
502,Aldgate             ,Midday      ,Daily (inc T/Card)  ,1333,12049.36,9.04
502,Aldgate             ,Midday      ,Weekly              ,495,3164.17,6.39
502,Aldgate             ,Midday      ,Periods             ,445,3350.78,7.53
502,Aldgate             ,Midday      ,All Permits         ,312,4520.48,14.47
502,Aldgate             ,Midday      ,Not Stated/Other    ,389,2418.8,6.22
502,Aldgate             ,Midday      ,     Total all types,2975,25503.59,8.57
502,Aldgate             ,PM Peak     ,Daily (inc T/Card)  ,820,6407.26,7.81
502,Aldgate             ,PM Peak     ,Weekly              ,264,734.24,2.78
502,Aldgate             ,PM Peak     ,Periods             ,933,5844.74,6.27
502,Aldgate             ,PM Peak     ,All Permits         ,195,580.62,2.97
502,Aldgate             ,PM Peak     ,Not Stated/Other    ,568,3824.98,6.74
502,Aldgate             ,PM Peak     ,     Total all types,2780,17391.84,6.26
502,Aldgate             ,Evening     ,Daily (inc T/Card)  ,265,4089.06,15.45
502,Aldgate             ,Evening     ,Weekly              ,16,67.34,4.1
502,Aldgate             ,Evening     ,Periods             ,451,2446.36,5.42
502,Aldgate             ,Evening     ,All Permits         ,26,95.51,3.61
502,Aldgate             ,Evening     ,Not Stated/Other    ,235,2672.78,11.36
502,Aldgate             ,Evening     ,     Total all types,994,9371.05,9.43
502,Aldgate             ,Late        ,Daily (inc T/Card)  ,111,237.79,2.14
502,Aldgate             ,Late        ,Weekly              ,134,2410.94,18.02
502,Aldgate             ,Late        ,Periods             ,17,256.73,15.37
502,Aldgate             ,Late        ,Not Stated/Other    ,29,277.14,9.61
502,Aldgate             ,Late        ,     Total all types,290,3182.6,10.96
502,Aldgate             ,   Total day,Daily (inc T/Card)  ,4912,50114.82,10.2
502,Aldgate             ,   Total day,Weekly              ,1810,13750.8,7.6
502,Aldgate             ,   Total day,Periods             ,3858,32815.13,8.51
502,Aldgate             ,   Total day,All Permits         ,569,5760.93,10.13
502,Aldgate             ,   Total day,Not Stated/Other    ,2456,29415.85,11.98
502,Aldgate             ,   Total day,     Total all types,13604,131857.53,9.69
503,Aldgate East        ,Early       ,Not Stated/Other    ,428,4247.75,9.92
503,Aldgate East        ,Early       ,     Total all types,428,4247.75,9.92
503,Aldgate East        ,AM peak     ,Daily (inc T/Card)  ,2338,21908.55,9.37
503,Aldgate East        ,AM peak     ,Weekly              ,1616,16442.65,10.17
503,Aldgate East        ,AM peak     ,Periods             ,2676,21230.11,7.93
503,Aldgate East        ,AM peak     ,All Permits         ,74,435.44,5.9
503,Aldgate East        ,AM peak     ,Not Stated/Other    ,876,11492.42,13.12
503,Aldgate East        ,AM peak     ,     Total all types,7579,71509.17,9.43
503,Aldgate East        ,Midday      ,Daily (inc T/Card)  ,2278,20756.5,9.11
503,Aldgate East        ,Midday      ,Weekly              ,1085,7085.28,6.53
503,Aldgate East        ,Midday      ,Periods             ,970,5520.03,5.69
503,Aldgate East        ,Midday      ,All Permits         ,265,2057.19,7.76
503,Aldgate East        ,Midday      ,Not Stated/Other    ,868,3144.16,3.62
503,Aldgate East        ,Midday      ,     Total all types,5466,38563.16,7.06
503,Aldgate East        ,PM Peak     ,Daily (inc T/Card)  ,1362,7771.44,5.71
503,Aldgate East        ,PM Peak     ,Weekly              ,870,5618.17,6.46
503,Aldgate East        ,PM Peak     ,Periods             ,645,3666.65,5.69
503,Aldgate East        ,PM Peak     ,All Permits         ,154,1210.14,7.84
503,Aldgate East        ,PM Peak     ,Not Stated/Other    ,981,5116.25,5.22
503,Aldgate East        ,PM Peak     ,     Total all types,4012,23382.65,5.83
503,Aldgate East        ,Evening     ,Daily (inc T/Card)  ,1024,5496.6,5.37
503,Aldgate East        ,Evening     ,Weekly              ,332,1572.44,4.74
503,Aldgate East        ,Evening     ,Periods             ,466,2571.17,5.52
503,Aldgate East        ,Evening     ,All Permits         ,2,17.01,8.55
503,Aldgate East        ,Evening     ,Not Stated/Other    ,331,1971.22,5.95
503,Aldgate East        ,Evening     ,     Total all types,2155,11628.44,5.4
503,Aldgate East        ,Late        ,Daily (inc T/Card)  ,362,2639.66,7.28
503,Aldgate East        ,Late        ,Weekly              ,218,1888.61,8.66
503,Aldgate East        ,Late        ,Periods             ,137,1100.13,8.05
503,Aldgate East        ,Late        ,All Permits         ,13,75.24,5.63
503,Aldgate East        ,Late        ,Not Stated/Other    ,324,2090.2,6.45
503,Aldgate East        ,Late        ,     Total all types,1054,7793.84,7.39
503,Aldgate East        ,   Total day,Daily (inc T/Card)  ,7364,58572.75,7.95
503,Aldgate East        ,   Total day,Weekly              ,4122,32607.15,7.91
503,Aldgate East        ,   Total day,Periods             ,4893,34088.09,6.97
503,Aldgate East        ,   Total day,All Permits         ,509,3795.02,7.46
503,Aldgate East        ,   Total day,Not Stated/Other    ,3808,28062,7.37
503,Aldgate East        ,   Total day,     Total all types,20696,157125.02,7.59
505,Alperton            ,Early       ,Not Stated/Other    ,122,1315.59,10.81
505,Alperton            ,Early       ,     Total all types,122,1315.59,10.81
505,Alperton            ,AM peak     ,Daily (inc T/Card)  ,344,4229.2,12.3
505,Alperton            ,AM peak     ,Weekly              ,148,2749.04,18.57
505,Alperton            ,AM peak     ,Periods             ,150,2758.29,18.44
505,Alperton            ,AM peak     ,All Permits         ,24,156.19,6.57
505,Alperton            ,AM peak     ,Not Stated/Other    ,190,3750.24,19.74
505,Alperton            ,AM peak     ,     Total all types,855,13642.96,15.95
505,Alperton            ,Midday      ,Daily (inc T/Card)  ,377,4561.24,12.1
505,Alperton            ,Midday      ,Weekly              ,239,3162.63,13.24
505,Alperton            ,Midday      ,Periods             ,90,1301.77,14.52
505,Alperton            ,Midday      ,All Permits         ,243,3357.18,13.84
