Line,- 7am,7am-10am,10am-4pm,4pm-7pm,7pm-10pm,10pm+,Total
Bakerloo       ,11135,102419,105743,113705,50719,22103,
Central        ,44313,254579,268662,295012,120802,46043,
District       ,37232,229237,213838,246344,94541,38118,
East London    ,0,0,0,0,0,0,
Jubilee        ,46153,280843,233970,290419,120616,49374,
Hammersmith & C,11195,60615,53564,64385,25358,10424,
Metropolitan   ,16165,104589,71308,99771,35805,11578,
Northern       ,37158,301816,268843,301140,141599,68320,
Piccadilly     ,27877,162566,199821,196556,91753,42283,
Victoria       ,38354,248381,223504,255351,120497,47720,
Circle         ,6745,66407,81423,72765,24483,8053,
Waterloo & City,1847,22838,9613,30023,7290,819,
