 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,
  All day,,,,,,
Zone,No interchange,1 interchange,2 interchanges,3 interchanges,4 interchanges,Total trips
1,1630510,817642,87527,4027,104,2539810
2,786367,453698,58672,3907,85,1302729
3,275971,200775,33503,1573,274,512096
4,162518,109043,20490,1516,51,293618
5,75165,42490,10429,888,12,128984
6,52522,31177,5647,626,0,89972
7,8320,6175,2638,541,17,17691
All zones,2991373,1661000,218906,13078,543,4884900
Percentages,,,,,,
1,64.20%,32.19%,3.45%,0.16%,0.00%,
2,60.36%,34.83%,4.50%,0.30%,0.01%,
3,53.89%,39.21%,6.54%,0.31%,0.05%,
4,55.35%,37.14%,6.98%,0.52%,0.02%,
5,58.27%,32.94%,8.09%,0.69%,0.01%,
6,58.38%,34.65%,6.28%,0.70%,0.00%,
7,47.03%,34.90%,14.91%,3.06%,0.10%,
All zones,61.24%,34.00%,4.48%,0.27%,0.01%,
,,,,,,
 Early,,,,,,
Zone,No interchange,1 interchange,2 interchanges,3 interchanges,4 interchanges,Total trips
1,28276,10164,765,58,0,39263
2,32014,20371,2333,147,0,54865
3,25996,23266,3733,147,17,53159
4,17800,16059,2377,126,0,36362
5,7797,7011,1855,75,1,16739
6,3825,3929,757,46,0,8557
7,874,1011,413,99,0,2397
All zones,116582,81811,12233,698,18,211342
Percentages,,,,,,
1,72.02%,25.89%,1.95%,0.15%,0.00%,
2,58.35%,37.13%,4.25%,0.27%,0.00%,
3,48.90%,43.77%,7.02%,0.28%,0.03%,
4,48.95%,44.16%,6.54%,0.35%,0.00%,
5,46.58%,41.88%,11.08%,0.45%,0.01%,
6,44.70%,45.92%,8.85%,0.54%,0.00%,
7,36.46%,42.18%,17.23%,4.13%,0.00%,
All zones,55.16%,38.71%,5.79%,0.33%,0.01%,
,,,,,,
 AM peak,,,,,,
Zone,No interchange,1 interchange,2 interchanges,3 interchanges,4 interchanges,Total trips
1,320683,118761,10253,407,0,450104
2,243272,142789,19073,711,23,405868
3,110346,84171,14722,677,129,210045
4,63674,46158,8399,622,40,118893
5,30379,18872,5126,432,9,54818
