 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,
Originating National Rail/DLR stations,,,,,,,,,,
,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Weekday
All arrivals at,,from NR/DLR Origin,, - 7am ,7am-10am,10am-4pm,4pm-7pm ,7pm-10pm,10pm+,total
502,Aldgate                       ,7494,Basildon                      ,6,89,0,0,0,0,95
502,Aldgate                       ,7439,Benfleet                      ,5,87,14,0,0,0,106
502,Aldgate                       ,7447,Chafford Hundred              ,0,39,19,0,0,0,57
502,Aldgate                       ,7469,Chalkwell                     ,0,25,0,0,0,0,26
502,Aldgate                       ,7440,Dagenham Dock                 ,0,2,0,13,0,0,15
502,Aldgate                       ,7471,East Tilbury                  ,0,7,0,0,0,0,7
502,Aldgate                       ,7490,Fenchurch Street              ,0,249,51,0,0,0,300
502,Aldgate                       ,7443,Grays                         ,0,77,34,0,0,0,111
502,Aldgate                       ,5220,Headcorn                      ,0,0,1,0,0,0,1
502,Aldgate                       ,6086,Hitchin                       ,0,0,9,0,0,0,9
502,Aldgate                       ,7445,Laindon                       ,0,28,0,0,0,0,28
502,Aldgate                       ,7446,Leigh-on-Sea                  ,4,96,1,0,0,0,101
502,Aldgate                       ,0,Not stated                    ,6,67,41,8,30,0,153
502,Aldgate                       ,7451,Ockendon                      ,0,3,0,0,0,0,3
502,Aldgate                       ,7452,Pitsea                        ,0,46,0,0,0,0,46
502,Aldgate                       ,7453,Purfleet                      ,0,8,0,0,0,0,8
502,Aldgate                       ,7454,Rainham Essex                 ,0,39,0,0,0,0,39
502,Aldgate                       ,886,Royal Victoria                ,0,21,0,0,0,0,21
502,Aldgate                       ,7455,Shoeburyness                  ,0,3,0,0,0,0,3
502,Aldgate                       ,7456,Southend Central              ,0,13,0,0,8,0,21
502,Aldgate                       ,7457,Southend East                 ,8,12,0,0,0,0,19
502,Aldgate                       ,7458,Stanford-Le-Hope              ,0,8,0,0,0,0,8
502,Aldgate                       ,7460,Thorpe Bay                    ,6,25,1,0,0,0,32
502,Aldgate                       ,7462,Tilbury Town                  ,11,13,0,69,0,0,93
502,Aldgate                       ,7466,West Horndon                  ,0,13,0,0,0,0,13
502,Aldgate                       ,7476,Westcliff On Sea              ,38,27,0,0,0,0,64
502,Aldgate                       ,865,Westferry                     ,0,7,0,0,0,0,7
505,Alperton                      ,1395,Bushey                        ,0,0,0,7,0,0,7
505,Alperton                      ,5565,Kingston                      ,0,0,18,0,0,0,18
505,Alperton                      ,0,Not stated                    ,0,0,24,0,0,0,24
505,Alperton                      ,3172,Slough                        ,0,0,12,0,0,0,12
506,Amersham                      ,1492,Aylesbury                     ,0,36,111,86,35,9,277
506,Amersham                      ,1463,Great Missenden               ,0,22,5,0,0,0,27
506,Amersham                      ,1475,Marylebone London             ,10,152,215,584,403,0,1364
506,Amersham                      ,0,Not stated                    ,0,1,0,0,0,0,1
506,Amersham                      ,1467,Stoke Mandeville              ,0,160,0,0,0,0,160
506,Amersham                      ,1466,Wendover                      ,0,23,0,0,0,4,27
508,Archway                       ,1510,Bedford St Johns              ,0,0,48,0,0,0,48
508,Archway                       ,5130,Borough Green                 ,0,0,0,0,19,0,19
508,Archway                       ,5121,City Thameslink               ,0,0,0,0,14,0,14
508,Archway                       ,7406,Crouch Hill                   ,0,8,0,0,0,0,8
508,Archway                       ,7401,Harringay Stadium             ,0,1,0,0,0,0,1
508,Archway                       ,7403,Leytonstone High Road         ,0,2,0,0,0,0,2
508,Archway                       ,0,Not stated                    ,0,35,0,0,0,0,35
508,Archway                       ,3115,Oxford                        ,0,0,6,0,0,0,6
508,Archway                       ,6972,Silver Street                 ,0,0,0,10,0,0,10
508,Archway                       ,1524,Upper Holloway                ,0,1,0,0,0,0,1
511,Baker Street                  ,1492,Aylesbury                     ,16,149,6,0,0,0,170
511,Baker Street                  ,4502,Banbury                       ,10,26,39,0,0,0,76
511,Baker Street                  ,5520,Basingstoke                   ,0,0,30,0,0,0,30
511,Baker Street                  ,3047,Beaconsfield                  ,13,113,219,0,0,0,345
511,Baker Street                  ,3104,Bicester Town                 ,6,27,121,0,0,0,154
511,Baker Street                  ,3051,Gerrards Cross                ,0,40,0,0,61,0,102
511,Baker Street                  ,1463,Great Missenden               ,4,60,3,0,0,0,66
511,Baker Street                  ,3053,Haddenham & Tme Pky           ,14,85,93,0,0,0,192
511,Baker Street                  ,3054,High Wycombe                  ,90,953,25,9,4,0,1081
511,Baker Street                  ,4597,Leamington Spa                ,20,15,40,19,0,0,94
511,Baker Street                  ,1478,Northolt Park                 ,0,12,0,38,0,0,49
511,Baker Street                  ,0,Not stated                    ,143,1434,1273,252,185,0,3288
511,Baker Street                  ,3055,Princes Risborough            ,0,94,103,0,0,0,197
511,Baker Street                  ,3061,Seer Green                    ,0,11,0,0,0,0,11
511,Baker Street                  ,6691,Sheffield                     ,0,0,5,0,0,0,5
511,Baker Street                  ,4527,Solihull                      ,0,83,0,41,0,0,124
511,Baker Street                  ,1467,Stoke Mandeville              ,24,30,0,0,0,0,54
511,Baker Street                  ,4600,Warwick                       ,0,61,110,0,0,0,171
