 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,
Final National Rail/DLR stations,,,,,,,,,,
,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Weekday
All departures from,,to NR/DLR Destination,, - 7am ,7am-10am,10am-4pm,4pm-7pm ,7pm-10pm,10pm+,total
502,Aldgate                       ,7494,Basildon                      ,0,0,0,11,0,0,11
502,Aldgate                       ,7439,Benfleet                      ,0,0,0,55,16,0,71
502,Aldgate                       ,7469,Chalkwell                     ,0,0,25,0,0,0,25
502,Aldgate                       ,5595,Clapham Junction              ,0,3,0,0,0,0,3
502,Aldgate                       ,5355,East Croydon                  ,0,0,5,0,0,0,5
502,Aldgate                       ,1532,Flitwick                      ,0,0,0,0,4,0,4
502,Aldgate                       ,7446,Leigh-on-Sea                  ,0,0,3,18,0,0,21
502,Aldgate                       ,0,Not stated                    ,0,22,29,126,0,0,177
502,Aldgate                       ,7451,Ockendon                      ,0,0,0,4,0,0,4
502,Aldgate                       ,7454,Rainham Essex                 ,0,0,10,11,0,0,21
502,Aldgate                       ,7456,Southend Central              ,0,0,0,18,0,0,18
502,Aldgate                       ,7457,Southend East                 ,0,0,0,1,0,0,1
506,Amersham                      ,1492,Aylesbury                     ,23,462,131,34,30,2,681
506,Amersham                      ,1463,Great Missenden               ,0,0,83,0,0,0,83
506,Amersham                      ,1475,Marylebone London             ,6,85,68,41,9,0,210
506,Amersham                      ,1467,Stoke Mandeville              ,0,0,0,300,0,0,300
506,Amersham                      ,1466,Wendover                      ,0,0,114,63,319,10,505
508,Archway                       ,7403,Leytonstone High Road         ,0,0,0,18,5,0,23
511,Baker Street                  ,7662,Acklington                    ,0,0,0,50,0,0,50
511,Baker Street                  ,1492,Aylesbury                     ,0,0,0,0,0,0,0
511,Baker Street                  ,4502,Banbury                       ,0,0,0,105,0,0,105
511,Baker Street                  ,3047,Beaconsfield                  ,0,0,0,72,40,6,117
511,Baker Street                  ,3048,Bicester North                ,1,20,0,6,12,0,39
511,Baker Street                  ,3104,Bicester Town                 ,0,0,0,3,0,0,3
511,Baker Street                  ,3899,Cardiff Central               ,0,0,0,9,0,0,9
511,Baker Street                  ,5047,Catford Bridge                ,0,26,0,0,0,0,26
511,Baker Street                  ,9911,Charing Cross (Glasgow)       ,0,0,0,0,0,0,0
511,Baker Street                  ,6914,Chingford                     ,0,1,0,0,0,0,1
511,Baker Street                  ,5100,Crayford                      ,0,1,0,0,0,0,1
511,Baker Street                  ,1243,Crewe                         ,0,0,0,3,0,0,3
511,Baker Street                  ,5104,Erith                         ,0,0,0,0,0,1,1
511,Baker Street                  ,3410,Exeter St. Davids             ,0,0,13,0,0,0,13
511,Baker Street                  ,3051,Gerrards Cross                ,0,3,14,38,7,4,65
511,Baker Street                  ,1463,Great Missenden               ,0,0,4,2,18,34,57
511,Baker Street                  ,5146,Greenwich                     ,0,0,36,34,0,0,70
511,Baker Street                  ,3053,Haddenham & Tme Pky           ,0,0,0,3,0,0,3
511,Baker Street                  ,6804,Harlow Mill                   ,0,0,0,0,1,0,1
511,Baker Street                  ,3054,High Wycombe                  ,0,0,2,5,61,0,69
511,Baker Street                  ,5418,Honor Oak Park                ,0,0,47,1,0,0,48
511,Baker Street                  ,9586,Imperial Wharf                ,0,12,0,0,0,0,12
511,Baker Street                  ,4597,Leamington Spa                ,0,0,0,2,0,0,2
511,Baker Street                  ,2246,Liverpool Lime Street         ,0,1,0,0,0,0,1
511,Baker Street                  ,3147,Maidenhead                    ,0,0,0,29,0,0,29
511,Baker Street                  ,4884,Malvern Link                  ,0,0,0,66,0,0,66
511,Baker Street                  ,6863,Marks Tey                     ,0,0,0,0,0,0,0
511,Baker Street                  ,1475,Marylebone London             ,0,2,0,0,0,0,2
511,Baker Street                  ,1527,Mill Hill Broadway            ,0,12,0,0,0,0,12
511,Baker Street                  ,5345,New Cross Gate                ,0,13,0,0,0,0,13
511,Baker Street                  ,1478,Northolt Park                 ,0,54,0,3,0,0,57
511,Baker Street                  ,5376,Norwood Junction              ,0,0,13,0,0,0,13
511,Baker Street                  ,0,Not stated                    ,0,98,6,53,92,10,259
511,Baker Street                  ,2753,Preston                       ,0,0,9,0,0,0,9
511,Baker Street                  ,3055,Princes Risborough            ,0,0,0,32,26,0,59
511,Baker Street                  ,3149,Reading                       ,0,0,0,0,0,0,0
511,Baker Street                  ,7316,Reedham (Norfolk)             ,0,0,0,21,0,0,21
511,Baker Street                  ,3061,Seer Green                    ,0,0,0,7,0,0,7
511,Baker Street                  ,5425,South Bermondsey              ,0,0,0,30,1,0,32
511,Baker Street                  ,3187,Southall                      ,0,0,2,40,0,0,41
511,Baker Street                  ,5286,Southwick                     ,0,0,0,0,0,0,0
511,Baker Street                  ,1467,Stoke Mandeville              ,0,0,20,48,0,0,68
511,Baker Street                  ,1483,Sudbury & Harrow Road         ,0,0,0,7,0,0,7
511,Baker Street                  ,1484,Sudbury Hill (Harrow)         ,0,0,0,3,0,0,3
511,Baker Street                  ,5158,Waterloo East                 ,0,0,0,0,0,0,0
511,Baker Street                  ,1402,Watford Junction              ,0,0,0,11,0,0,11
511,Baker Street                  ,1456,Watford West                  ,0,0,0,502,0,0,502
511,Baker Street                  ,1509,Wembley Stadium               ,3,1,0,0,0,0,5
511,Baker Street                  ,1466,Wendover                      ,0,0,0,44,6,0,50
511,Baker Street                  ,1421,West Hampstead - NR           ,0,0,0,5,0,0,5
511,Baker Street                  ,5151,Westcombe Park                ,0,5,0,0,0,0,5
512,Balham                        ,5348,Banstead                      ,0,0,0,0,1,0,1
512,Balham                        ,5551,Barnes                        ,0,0,2,0,0,0,2
512,Balham                        ,5420,Battersea Park                ,0,18,6,3,0,0,27
512,Balham                        ,5046,Beckenham Junction            ,0,0,0,21,0,0,21
512,Balham                        ,5552,Brentford                     ,0,19,0,0,0,0,19
512,Balham                        ,5268,Brighton                      ,0,0,7,17,0,0,25
512,Balham                        ,5404,Brockley                      ,0,0,0,7,0,0,7
512,Balham                        ,5405,Carshalton                    ,0,0,0,5,0,0,6
512,Balham                        ,5406,Carshalton Beeches            ,27,60,0,105,0,0,192
512,Balham                        ,5351,Caterham                      ,0,0,0,6,0,0,6
512,Balham                        ,5352,Cheam                         ,8,35,47,38,100,52,279
512,Balham                        ,5583,Chiswick                      ,0,18,0,0,0,0,18
512,Balham                        ,5595,Clapham Junction              ,7,114,110,78,0,0,308
512,Balham                        ,5408,Coulsdon South                ,0,0,0,2,0,0,2
512,Balham                        ,5409,Cowden                        ,0,0,0,1,0,0,1
512,Balham                        ,5356,Crystal Palace                ,0,0,57,122,42,50,271
512,Balham                        ,5357,Dorking                       ,0,0,35,0,0,0,35
512,Balham                        ,5414,Earlswood                     ,0,0,7,0,0,0,7
512,Balham                        ,5355,East Croydon                  ,37,67,53,37,4,0,199
512,Balham                        ,5360,Epsom                         ,0,17,0,0,0,0,17
512,Balham                        ,5415,Ewell East                    ,0,0,0,1,17,0,18
512,Balham                        ,5521,Farnborough Main              ,0,0,31,0,0,0,31
512,Balham                        ,5362,Forest Hill                   ,0,0,0,83,16,0,100
512,Balham                        ,5416,Gatwick Airport               ,12,29,1,0,0,0,43
512,Balham                        ,5363,Gipsy Hill                    ,0,0,24,104,81,11,220
512,Balham                        ,7930,Gypsy Lane                    ,0,0,0,254,0,0,254
512,Balham                        ,5364,Hackbridge                    ,0,0,0,53,10,6,69
512,Balham                        ,5490,Haywards Heath                ,0,0,0,0,0,0,0
512,Balham                        ,5418,Honor Oak Park                ,0,0,0,17,0,0,17
512,Balham                        ,5365,Horley                        ,8,40,0,0,0,0,49
512,Balham                        ,9586,Imperial Wharf                ,18,38,0,0,0,0,56
512,Balham                        ,5419,Kenley                        ,0,0,0,1,0,0,1
512,Balham                        ,3092,Kensington (Olympia) NR       ,0,6,0,0,0,0,6
512,Balham                        ,5593,Kew Bridge                    ,0,1,0,0,0,0,1
512,Balham                        ,5329,Lewes                         ,0,0,7,0,0,5,12
512,Balham                        ,5369,Lingfield                     ,0,0,19,0,0,0,19
512,Balham                        ,5374,Mitcham                       ,0,0,3,142,40,0,185
512,Balham                        ,5427,Mitcham Junction              ,0,0,0,0,0,0,0
