 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
Journeys Entering from NR/DLR,,,,,,,,,,,
Entry Station,,Period,,Total,To Zone 1,2,3,4,5,6,7
502,Aldgate                       ,Early       ,NR      ,83,81,0,2,0,0,0,0
502,Aldgate                       ,Early       ,DLR     ,0,0,0,0,0,0,0,0
502,Aldgate                       ,Early       ,All     ,234,219,5,2,2,5,0,1
502,Aldgate                       ,AM peak     ,NR      ,969,929,15,17,0,8,0,0
502,Aldgate                       ,AM peak     ,DLR     ,34,31,0,0,0,3,0,0
502,Aldgate                       ,AM peak     ,All     ,2451,2264,52,22,46,60,0,8
502,Aldgate                       ,Midday      ,NR      ,171,135,0,37,0,0,0,0
502,Aldgate                       ,Midday      ,All     ,2791,2150,217,172,90,91,57,14
502,Aldgate                       ,PM Peak     ,NR      ,89,20,0,0,0,69,0,0
502,Aldgate                       ,PM Peak     ,All     ,6714,3732,710,523,492,646,411,200
502,Aldgate                       ,Evening     ,NR      ,38,8,0,0,0,30,0,0
502,Aldgate                       ,Evening     ,All     ,1542,667,310,63,236,180,81,6
502,Aldgate                       ,Late        ,All     ,406,158,50,41,50,83,1,24
505,Alperton                      ,Early       ,All     ,543,183,164,86,108,0,2,0
505,Alperton                      ,AM peak     ,All     ,1824,530,533,248,174,80,245,15
505,Alperton                      ,Midday      ,NR      ,54,0,0,30,0,0,24,0
505,Alperton                      ,Midday      ,All     ,1110,214,32,339,219,171,135,0
505,Alperton                      ,PM Peak     ,NR      ,7,0,0,7,0,0,0,0
505,Alperton                      ,PM Peak     ,All     ,901,113,153,168,54,411,0,0
505,Alperton                      ,Evening     ,All     ,328,6,8,21,155,88,51,0
505,Alperton                      ,Late        ,All     ,112,10,33,56,3,10,0,0
506,Amersham                      ,Early       ,All     ,514,359,87,0,37,6,25,0
506,Amersham                      ,AM peak     ,NR      ,80,80,0,0,0,0,0,0
506,Amersham                      ,AM peak     ,All     ,1566,1175,165,19,90,24,43,50
506,Amersham                      ,Midday      ,NR      ,3,3,0,0,0,0,0,0
506,Amersham                      ,Midday      ,All     ,408,274,34,6,2,21,35,35
506,Amersham                      ,PM Peak     ,All     ,81,15,1,0,16,16,2,30
506,Amersham                      ,Evening     ,All     ,50,0,34,0,0,4,6,6
506,Amersham                      ,Late        ,All     ,9,0,0,0,0,4,3,2
508,Archway                       ,Early       ,All     ,641,459,117,2,62,0,0,0
508,Archway                       ,AM peak     ,NR      ,48,35,3,0,10,0,0,0
508,Archway                       ,AM peak     ,All     ,6412,4858,1202,94,242,15,0,0
508,Archway                       ,Midday      ,NR      ,54,54,0,0,0,0,0,0
508,Archway                       ,Midday      ,All     ,4502,2771,1147,298,113,163,10,0
508,Archway                       ,PM Peak     ,NR      ,10,10,0,0,0,0,0,0
508,Archway                       ,PM Peak     ,All     ,3267,1388,828,353,562,137,0,0
508,Archway                       ,Evening     ,NR      ,32,19,14,0,0,0,0,0
508,Archway                       ,Evening     ,All     ,1191,442,438,107,127,70,7,0
508,Archway                       ,Late        ,All     ,379,54,198,75,53,0,0,0
511,Baker Street                  ,Early       ,NR      ,344,242,102,0,0,0,0,0
511,Baker Street                  ,Early       ,All     ,691,404,212,16,24,20,15,0
511,Baker Street                  ,AM peak     ,NR      ,3213,2674,513,2,24,0,0,0
511,Baker Street                  ,AM peak     ,All     ,7773,5609,1679,147,163,88,87,0
511,Baker Street                  ,Midday      ,NR      ,2154,1997,147,0,10,0,0,0
511,Baker Street                  ,Midday      ,All     ,12912,8362,2570,723,708,497,53,0
511,Baker Street                  ,PM Peak     ,NR      ,359,240,25,65,9,0,0,19
511,Baker Street                  ,PM Peak     ,All     ,16646,7380,5312,1270,1154,984,452,95
511,Baker Street                  ,Evening     ,NR      ,251,214,4,0,32,0,0,0
511,Baker Street                  ,Evening     ,All     ,6433,2162,2388,578,546,368,258,134
511,Baker Street                  ,Late        ,All     ,1817,660,502,287,153,153,62,0
512,Balham                        ,Early       ,NR      ,196,72,66,49,9,0,0,0
512,Balham                        ,Early       ,All     ,1385,911,306,121,43,5,0,0
512,Balham                        ,AM peak     ,NR      ,1930,983,489,363,95,0,0,0
512,Balham                        ,AM peak     ,All     ,11484,8100,2487,744,142,11,0,0
512,Balham                        ,Midday      ,NR      ,1119,406,241,427,45,0,0,0
512,Balham                        ,Midday      ,All     ,4572,2760,798,913,90,11,0,0
512,Balham                        ,PM Peak     ,NR      ,1217,213,301,628,75,0,0,0
512,Balham                        ,PM Peak     ,All     ,3733,1033,1278,1120,295,7,0,0
512,Balham                        ,Evening     ,NR      ,465,29,142,287,7,0,0,0
512,Balham                        ,Evening     ,All     ,1528,395,658,417,48,0,10,0
512,Balham                        ,Late        ,NR      ,238,81,92,65,0,0,0,0
512,Balham                        ,Late        ,All     ,567,128,200,201,38,0,0,0
513,Bank / Monument               ,Early       ,NR      ,629,474,74,43,27,0,11,0
513,Bank / Monument               ,Early       ,DLR     ,701,325,99,166,111,0,0,0
513,Bank / Monument               ,Early       ,All     ,1729,968,288,319,138,0,16,0
513,Bank / Monument               ,AM peak     ,NR      ,6916,6349,323,44,166,0,34,0
513,Bank / Monument               ,AM peak     ,DLR     ,6471,5182,493,529,267,0,0,0
513,Bank / Monument               ,AM peak     ,All     ,17435,13868,1643,1193,567,33,130,0
513,Bank / Monument               ,Midday      ,NR      ,3826,3569,102,79,0,0,0,76
513,Bank / Monument               ,Midday      ,DLR     ,7873,6047,961,701,158,0,6,0
513,Bank / Monument               ,Midday      ,All     ,30823,22117,4484,2372,864,626,284,76
513,Bank / Monument               ,PM Peak     ,NR      ,2700,1689,843,80,48,28,13,0
513,Bank / Monument               ,PM Peak     ,DLR     ,8573,5444,965,1722,409,33,0,0
513,Bank / Monument               ,PM Peak     ,All     ,64703,34887,14876,8550,3877,1440,1027,46
513,Bank / Monument               ,Evening     ,NR      ,1269,774,464,2,12,18,0,0
513,Bank / Monument               ,Evening     ,DLR     ,4802,2308,1634,777,7,76,0,0
513,Bank / Monument               ,Evening     ,All     ,26934,13359,8553,3295,1091,451,169,16
513,Bank / Monument               ,Late        ,NR      ,453,59,394,0,0,0,0,0
