 RODS report3h created at 13:28:09 on 29-03-2017,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,
Originating National Rail/DLR stations,,,,,,,,,,,,
,,,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Day
Arrivals at,,to line/direction,,from NR/DLR Origin,,    - 7am ,  7am-10am,  10am-4pm,  4pm-7pm ,  7pm-10pm,  10pm+   ,total
502,Aldgate                       ,Circle         ,I,7439,Benfleet                      ,5,11,1,0,0,0,18
502,Aldgate                       ,Circle         ,I,7446,Leigh-on-Sea                  ,0,0,1,0,0,0,1
502,Aldgate                       ,Circle         ,I,5220,Headcorn                      ,0,0,1,0,0,0,1
502,Aldgate                       ,Circle         ,I,7490,Fenchurch Street              ,0,0,50,0,0,0,50
502,Aldgate                       ,Circle         ,I,0,Not stated                    ,6,23,0,8,0,0,36
502,Aldgate                       ,Circle         ,I,7447,Chafford Hundred              ,0,0,0,0,0,0,0
502,Aldgate                       ,Circle         ,I,7494,Basildon                      ,6,1,0,0,0,0,7
502,Aldgate                       ,Circle         ,I,7460,Thorpe Bay                    ,1,8,0,0,0,0,8
502,Aldgate                       ,Circle         ,I,7476,Westcliff On Sea              ,38,14,0,0,0,0,51
502,Aldgate                       ,Circle         ,I,7457,Southend East                 ,1,5,0,0,0,0,5
502,Aldgate                       ,Circle         ,I,7462,Tilbury Town                  ,0,0,0,0,0,0,0
502,Aldgate                       ,Circle         ,O,7447,Chafford Hundred              ,0,5,0,0,0,0,5
502,Aldgate                       ,Circle         ,O,7457,Southend East                 ,0,1,0,0,0,0,1
502,Aldgate                       ,Metropolitan   ,N,7453,Purfleet                      ,0,8,0,0,0,0,8
502,Aldgate                       ,Metropolitan   ,N,7456,Southend Central              ,0,13,0,0,8,0,21
502,Aldgate                       ,Metropolitan   ,N,7460,Thorpe Bay                    ,0,23,1,0,0,0,24
502,Aldgate                       ,Metropolitan   ,N,7454,Rainham Essex                 ,0,39,0,0,0,0,39
502,Aldgate                       ,Metropolitan   ,N,7476,Westcliff On Sea              ,0,13,0,0,0,0,13
502,Aldgate                       ,Metropolitan   ,N,7439,Benfleet                      ,0,75,13,0,0,0,88
502,Aldgate                       ,Metropolitan   ,N,7490,Fenchurch Street              ,0,249,0,0,0,0,250
502,Aldgate                       ,Metropolitan   ,N,7452,Pitsea                        ,0,46,0,0,0,0,46
502,Aldgate                       ,Metropolitan   ,N,7443,Grays                         ,0,77,34,0,0,0,111
502,Aldgate                       ,Metropolitan   ,N,7471,East Tilbury                  ,0,7,0,0,0,0,7
502,Aldgate                       ,Metropolitan   ,N,7445,Laindon                       ,0,28,0,0,0,0,28
502,Aldgate                       ,Metropolitan   ,N,7494,Basildon                      ,0,88,0,0,0,0,88
502,Aldgate                       ,Metropolitan   ,N,7446,Leigh-on-Sea                  ,4,96,0,0,0,0,100
502,Aldgate                       ,Metropolitan   ,N,865,Westferry                     ,0,7,0,0,0,0,7
502,Aldgate                       ,Metropolitan   ,N,7447,Chafford Hundred              ,0,34,18,0,0,0,52
502,Aldgate                       ,Metropolitan   ,N,886,Royal Victoria                ,0,21,0,0,0,0,21
502,Aldgate                       ,Metropolitan   ,N,7440,Dagenham Dock                 ,0,2,0,13,0,0,15
502,Aldgate                       ,Metropolitan   ,N,7469,Chalkwell                     ,0,25,0,0,0,0,26
502,Aldgate                       ,Metropolitan   ,N,7466,West Horndon                  ,0,13,0,0,0,0,13
502,Aldgate                       ,Metropolitan   ,N,6086,Hitchin                       ,0,0,9,0,0,0,9
502,Aldgate                       ,Metropolitan   ,N,7462,Tilbury Town                  ,0,24,0,69,0,0,93
502,Aldgate                       ,Metropolitan   ,N,7451,Ockendon                      ,0,3,0,0,0,0,3
502,Aldgate                       ,Metropolitan   ,N,7458,Stanford-Le-Hope              ,0,8,0,0,0,0,8
502,Aldgate                       ,Metropolitan   ,N,0,Not stated                    ,0,45,41,0,30,0,116
502,Aldgate                       ,Metropolitan   ,N,7455,Shoeburyness                  ,0,3,0,0,0,0,3
502,Aldgate                       ,Metropolitan   ,N,7457,Southend East                 ,2,10,0,0,0,0,13
505,Alperton                      ,Piccadilly     ,E,5565,Kingston                      ,0,0,18,0,0,0,18
505,Alperton                      ,Piccadilly     ,E,3172,Slough                        ,0,0,12,0,0,0,12
505,Alperton                      ,Piccadilly     ,E,1395,Bushey                        ,0,0,0,7,0,0,7
505,Alperton                      ,Piccadilly     ,W,0,Not stated                    ,0,0,24,0,0,0,24
