<<<<<<< HEAD
 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,
Journeys originating on NR,,,,,,,,,,
From,,To,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Weekday Total
,,,, - 7am ,  7am-10am,  10am-4pm,  4pm-7pm ,  7pm-10pm,10pm+,
502,Aldgate                       ,507,Angel                         ,0,4,0,0,0,0,4
502,Aldgate                       ,511,Baker Street                  ,0,52,1,0,0,0,53
502,Aldgate                       ,501,Barbican                      ,0,66,53,0,0,0,119
502,Aldgate                       ,565,East Finchley                 ,2,5,0,0,0,0,7
502,Aldgate                       ,575,Euston Square                 ,9,113,1,0,0,0,124
502,Aldgate                       ,577,Farringdon                    ,17,347,18,13,0,0,395
502,Aldgate                       ,579,Finchley Road                 ,0,15,0,0,0,0,15
502,Aldgate                       ,588,Great Portland Street         ,17,80,0,0,0,0,97
502,Aldgate                       ,598,Harrow-on-the-Hill            ,0,0,0,0,30,0,30
502,Aldgate                       ,625,King's Cross St. Pancras      ,38,231,60,0,8,0,337
502,Aldgate                       ,634,Liverpool Street              ,0,14,0,8,0,0,21
502,Aldgate                       ,645,Moorgate                      ,0,41,0,0,0,0,42
502,Aldgate                       ,649,Neasden                       ,0,12,0,0,0,0,12
502,Aldgate                       ,664,Oakwood                       ,0,0,0,0,0,0,0
502,Aldgate                       ,683,Rayners Lane                  ,0,3,0,0,0,0,3
502,Aldgate                       ,694,Russell Square                ,0,9,0,0,0,0,9
502,Aldgate                       ,698,Seven Sisters                 ,0,0,37,0,0,0,37
502,Aldgate                       ,714,Stanmore                      ,0,8,0,69,0,0,77
502,Aldgate                       ,731,Tower Hill                    ,0,5,0,0,0,0,5
505,Alperton                      ,560,Ealing Broadway               ,0,0,12,0,0,0,12
505,Alperton                      ,654,North Ealing                  ,0,0,0,7,0,0,7
505,Alperton                      ,693,Ruislip Manor                 ,0,0,24,0,0,0,24
505,Alperton                      ,767,Wimbledon                     ,0,0,18,0,0,0,18
506,Amersham                      ,511,Baker Street                  ,0,31,0,0,0,0,31
506,Amersham                      ,501,Barbican                      ,0,27,0,0,0,0,27
506,Amersham                      ,605,High Street Kensington        ,0,1,2,0,0,0,3
506,Amersham                      ,634,Liverpool Street              ,0,21,0,0,0,0,21
506,Amersham                      ,695,St. James's Park              ,0,0,0,0,0,0,0
508,Archway                       ,525,Borough                       ,0,0,0,0,19,0,19
508,Archway                       ,535,Camden Town                   ,0,3,0,0,0,0,3
508,Archway                       ,788,Canada Water                  ,0,0,0,0,14,0,14
508,Archway                       ,574,Euston                        ,0,0,0,10,0,0,10
508,Archway                       ,578,Finchley Central              ,0,3,0,0,0,0,3
508,Archway                       ,625,King's Cross St. Pancras      ,0,0,48,0,0,0,48
508,Archway                       ,669,Oxford Circus                 ,0,0,6,0,0,0,6
508,Archway                       ,747,Waterloo                      ,0,35,0,0,0,0,35
508,Archway                       ,756,West Finchley                 ,0,5,0,0,0,0,5
508,Archway                       ,771,Woodside Park                 ,0,1,0,0,0,0,1
511,Baker Street                  ,502,Aldgate                       ,11,102,0,0,0,0,112
511,Baker Street                  ,503,Aldgate East                  ,0,48,49,0,0,0,97
511,Baker Street                  ,507,Angel                         ,0,0,20,0,0,0,20
511,Baker Street                  ,508,Archway                       ,0,0,39,0,0,0,39
511,Baker Street                  ,513,Bank / Monument               ,5,31,0,0,0,0,36
511,Baker Street                  ,501,Barbican                      ,7,85,141,0,0,0,232
511,Baker Street                  ,514,Barking                       ,0,24,0,0,0,0,24
511,Baker Street                  ,521,Blackfriars                   ,2,9,0,0,0,0,11
511,Baker Street                  ,534,Caledonian Road               ,0,0,2,0,0,0,2
511,Baker Street                  ,852,Canary Wharf                  ,86,407,7,0,0,0,501
511,Baker Street                  ,884,Canning Town                  ,0,0,11,0,0,0,11
511,Baker Street                  ,536,Cannon Street                 ,0,20,0,0,0,0,20
511,Baker Street                  ,718,Charing Cross                 ,0,0,4,0,79,0,83
511,Baker Street                  ,554,Croxley                       ,0,0,0,19,0,0,19
511,Baker Street                  ,562,Earl's Court                  ,0,0,41,0,0,0,41
511,Baker Street                  ,566,East Ham                      ,0,2,0,0,0,0,2
511,Baker Street                  ,542,Embankment                    ,2,9,0,0,0,0,11
511,Baker Street                  ,575,Euston Square                 ,8,103,103,19,0,0,234
511,Baker Street                  ,577,Farringdon                    ,8,186,55,0,0,0,248
511,Baker Street                  ,580,Finsbury Park                 ,0,11,2,0,0,0,13
511,Baker Street                  ,588,Great Portland Street         ,11,13,0,0,0,0,25
511,Baker Street                  ,590,Green Park                    ,4,63,85,0,0,0,152
511,Baker Street                  ,773,Hammersmith (H&C)             ,1,16,0,0,0,0,16
511,Baker Street                  ,607,Holborn                       ,0,91,0,0,0,0,91
511,Baker Street                  ,625,King's Cross St. Pancras      ,49,119,214,89,61,0,532
511,Baker Street                  ,627,Ladbroke Grove                ,0,0,0,0,4,0,4
511,Baker Street                  ,634,Liverpool Street              ,30,366,70,38,0,0,504
511,Baker Street                  ,635,London Bridge                 ,12,120,208,0,32,0,372
511,Baker Street                  ,645,Moorgate                      ,39,775,218,0,0,0,1032
511,Baker Street                  ,789,North Greenwich               ,6,14,4,0,0,0,24
511,Baker Street                  ,665,Old Street                    ,21,87,0,0,0,0,108
511,Baker Street                  ,669,Oxford Circus                 ,0,1,22,0,0,0,23
511,Baker Street                  ,674,Piccadilly Circus             ,0,8,6,41,42,0,97
511,Baker Street                  ,677,Preston Road                  ,0,0,0,0,6,0,6
511,Baker Street                  ,686,Richmond                      ,0,0,0,9,26,0,36
