From,,To,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Weekday
,,,, - 7am ,7am-10am,10am-4pm,4pm-7pm ,7pm-10pm,10pm+,Total
500,Acton Town                    ,505,Alperton                      ,0,50,0,99,0,0,148
500,Acton Town                    ,506,Amersham                      ,0,0,0,20,0,0,20
500,Acton Town                    ,507,Angel                         ,1,10,2,0,3,0,16
500,Acton Town                    ,508,Archway                       ,0,0,0,0,0,2,2
500,Acton Town                    ,510,Arsenal                       ,0,0,13,15,0,0,28
500,Acton Town                    ,511,Baker Street                  ,0,17,0,0,0,0,17
500,Acton Town                    ,513,Bank / Monument               ,113,108,26,0,0,0,246
500,Acton Town                    ,501,Barbican                      ,0,11,0,0,0,0,11
500,Acton Town                    ,516,Barons Court                  ,6,29,3,0,0,0,38
500,Acton Town                    ,517,Bayswater                     ,0,0,0,9,0,0,9
500,Acton Town                    ,519,Belsize Park                  ,0,0,0,0,0,0,0
500,Acton Town                    ,787,Bermondsey                    ,0,0,0,3,0,0,3
500,Acton Town                    ,521,Blackfriars                   ,10,39,9,0,0,0,58
500,Acton Town                    ,522,Blackhorse Road               ,0,0,0,0,23,0,23
500,Acton Town                    ,524,Bond Street                   ,0,0,27,0,0,0,27
500,Acton Town                    ,526,Boston Manor                  ,0,39,0,36,0,0,76
500,Acton Town                    ,527,Bounds Green                  ,0,0,24,0,0,0,24
500,Acton Town                    ,778,Brixton                       ,4,12,12,8,0,5,40
500,Acton Town                    ,534,Caledonian Road               ,2,15,0,0,0,0,17
500,Acton Town                    ,535,Camden Town                   ,0,0,0,3,0,0,3
500,Acton Town                    ,788,Canada Water                  ,0,0,44,0,0,0,44
500,Acton Town                    ,852,Canary Wharf                  ,22,35,25,0,0,0,82
500,Acton Town                    ,884,Canning Town                  ,0,58,0,0,0,0,58
500,Acton Town                    ,536,Cannon Street                 ,0,17,5,0,0,0,21
500,Acton Town                    ,541,Chancery Lane                 ,0,44,0,0,0,0,45
500,Acton Town                    ,718,Charing Cross                 ,0,3,5,0,2,0,9
500,Acton Town                    ,545,Chiswick Park                 ,0,0,17,0,0,0,17
500,Acton Town                    ,547,Clapham Common                ,0,0,6,0,0,0,6
