 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,
  All day,,,,,,,,,
Zone,1,2,3,4,5,6,7,Total,
1,1366245,660621,280515,134893,55668,33714,8155,2539811,
2,668397,361783,144686,78007,31210,16642,2003,1302728,
3,270979,137041,57560,29428,10591,6127,369,512095,
4,136110,80272,29561,20723,15952,10071,928,293617,
5,57705,28540,9939,17005,5599,8960,1236,128984,
6,36206,18415,7107,9332,9080,9072,761,89972,
7,9555,2001,253,1345,1475,1232,1827,17690,
Total,2545197,1288674,529622,290733,129574,85818,15280,4884898,
Percentages,,,,,,,,,
1,27.97%,13.52%,5.74%,2.76%,1.14%,0.69%,0.17%,51.99%,
2,13.68%,7.41%,2.96%,1.60%,0.64%,0.34%,0.04%,26.67%,
3,5.55%,2.81%,1.18%,0.60%,0.22%,0.13%,0.01%,10.48%,
4,2.79%,1.64%,0.61%,0.42%,0.33%,0.21%,0.02%,6.01%,
5,1.18%,0.58%,0.20%,0.35%,0.11%,0.18%,0.03%,2.64%,
6,0.74%,0.38%,0.15%,0.19%,0.19%,0.19%,0.02%,1.84%,
7,0.20%,0.04%,0.01%,0.03%,0.03%,0.03%,0.04%,0.36%,
Total,52.10%,26.38%,10.84%,5.95%,2.65%,1.76%,0.31%,100.00%,
,1,2,3,4/5/6/7,,,,,
1,27.97%,,,,,,,,
2,27.21%,7.41%,,,,,,,
3,11.29%,5.77%,1.18%,,,,,,
4/5/6/7,9.66%,5.26%,1.91%,2.35%,,,,,
,76.13%,18.44%,3.09%,2.35%,100.00%,,,,
 Early,,,,,,,,,
Zone,1,2,3,4,5,6,7,Total,
1,24053,9367,2769,1955,459,583,78,39264,
2,30819,16121,3762,2271,952,760,179,54864,
3,31004,14837,4134,1994,650,540,0,53159,
4,18661,11942,2649,1335,789,885,102,36362,
5,8848,4454,806,1462,235,854,79,16738,
6,4629,2420,314,595,178,407,14,8557,
7,1417,326,49,143,97,130,234,2396,
Total,119431,59467,14482,9754,3361,4160,686,211342,
Percentages,,,,,,,,,
1,11.38%,4.43%,1.31%,0.93%,0.22%,0.28%,0.04%,18.58%,
2,14.58%,7.63%,1.78%,1.07%,0.45%,0.36%,0.08%,25.96%,
3,14.67%,7.02%,1.96%,0.94%,0.31%,0.26%,0.00%,25.15%,
4,8.83%,5.65%,1.25%,0.63%,0.37%,0.42%,0.05%,17.21%,
5,4.19%,2.11%,0.38%,0.69%,0.11%,0.40%,0.04%,7.92%,
