NLC,Station,timePeriod,Total,Male,Female,Notstated,NotStated,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
500,ActonTown,Early,283,0,0,283,283,0,0,0,0,0,0,0,0,0
500,ActonTown,AMpeak,2024,641,996,387,381,0,219,150,437,220,379,71,141,24
500,ActonTown,Midday,1828,803,872,154,117,20,55,282,300,222,475,93,109,155
500,ActonTown,PMPeak,2770,1097,1656,17,54,0,40,668,870,461,407,200,42,28
500,ActonTown,Evening,1749,937,765,47,49,1,11,222,527,365,495,28,8,44
500,ActonTown,Late,950,252,351,347,335,3,4,238,111,81,175,0,2,0
500,ActonTown,Totalday,9604,3730,4639,1235,1219,24,329,1561,2244,1350,1932,392,303,251
502,Aldgate,Early,359,2,0,357,357,0,0,0,0,0,2,0,0,0
502,Aldgate,AMpeak,6207,2995,2433,778,729,0,28,476,1356,1459,1587,371,146,55
502,Aldgate,Midday,2975,1410,1191,374,297,0,44,503,702,279,643,290,133,85
502,Aldgate,PMPeak,2780,1033,1255,493,493,0,0,212,796,174,803,152,113,36
502,Aldgate,Evening,994,227,532,235,235,0,0,271,85,105,293,5,0,0
502,Aldgate,Late,290,164,84,42,29,0,0,0,125,136,0,0,0,0
502,Aldgate,Totalday,13604,5830,5495,2279,2139,0,72,1462,3065,2153,3328,818,392,176
503,AldgateEast,Early,428,0,0,428,428,0,0,0,0,0,0,0,0,0
503,AldgateEast,AMpeak,7579,3903,2988,688,602,0,222,911,2013,1799,1660,163,209,0
503,AldgateEast,Midday,5466,1411,3240,815,779,0,309,1147,853,894,1124,194,97,70
503,AldgateEast,PMPeak,4012,1306,1726,981,983,0,276,673,857,281,793,67,13,70
503,AldgateEast,Evening,2155,738,1251,166,166,0,165,493,938,190,202,0,1,0
503,AldgateEast,Late,1054,406,326,323,323,0,0,82,533,20,83,5,0,8
503,AldgateEast,Totalday,20696,7763,9530,3402,3281,0,972,3306,5193,3183,3862,429,319,149
505,Alperton,Early,122,0,0,122,122,0,0,0,0,0,0,0,0,0
505,Alperton,AMpeak,855,304,362,190,201,63,12,35,198,93,170,71,2,11
505,Alperton,Midday,987,705,280,1,53,0,226,263,119,75,13,24,132,82
505,Alperton,PMPeak,1857,750,1013,94,88,0,389,393,446,105,255,73,52,55
505,Alperton,Evening,783,342,420,21,21,0,54,241,232,114,25,0,10,86
505,Alperton,Late,377,0,335,42,42,0,36,0,0,300,0,0,0,0
505,Alperton,Totalday,4981,2101,2409,471,527,63,717,932,994,687,463,169,195,234
506,Amersham,Early,50,0,0,50,50,0,0,0,0,0,0,0,0,0
506,Amersham,AMpeak,364,63,83,217,199,0,52,20,37,28,16,5,4,3
506,Amersham,Midday,448,271,173,3,3,12,43,8,12,79,110,132,17,31
506,Amersham,PMPeak,614,202,413,0,0,26,9,7,213,116,135,91,14,4
506,Amersham,Evening,466,385,81,0,0,0,0,7,58,19,340,21,0,19
506,Amersham,Late,432,3,237,192,216,0,0,0,4,0,212,0,0,0
506,Amersham,Totalday,2374,923,987,463,468,38,104,41,324,243,813,250,36,56
507,Angel,Early,426,0,0,426,426,0,0,0,0,0,0,0,0,0
507,Angel,AMpeak,10128,4024,5223,881,800,36,415,1474,2850,1890,1868,578,114,103
507,Angel,Midday,8891,3466,4798,627,484,47,694,1633,1754,1363,1644,688,364,219
507,Angel,PMPeak,7102,2967,3749,386,274,0,143,864,1939,1250,1739,476,240,176
507,Angel,Evening,3877,1092,2470,315,327,0,69,250,1240,468,1121,53,35,315
507,Angel,Late,1357,377,365,615,615,0,68,208,278,70,72,45,0,0
507,Angel,Totalday,31781,11926,16605,3251,2926,83,1389,4430,8061,5041,6444,1840,753,813
508,Archway,Early,196,0,0,196,196,0,0,0,0,0,0,0,0,0
508,Archway,AMpeak,2618,640,1636,343,344,33,20,417,603,481,375,171,114,61
508,Archway,Midday,3361,1104,2143,114,99,0,137,513,620,556,705,187,469,76
508,Archway,PMPeak,4787,1739,3038,9,12,17,287,993,1224,1104,829,79,181,62
508,Archway,Evening,3175,1250,1872,53,48,0,28,747,1016,680,565,22,47,21
508,Archway,Late,1672,891,316,465,461,0,0,104,454,203,416,0,33,1
508,Archway,Totalday,15809,5624,9005,1180,1159,50,471,2774,3917,3025,2890,458,844,221
509,ArnosGrove,Early,92,0,0,92,92,0,0,0,0,0,0,0,0,0
509,ArnosGrove,AMpeak,872,312,354,207,207,3,41,36,125,197,160,95,1,9
509,ArnosGrove,Midday,1421,721,696,4,13,0,41,150,225,182,327,163,125,194
509,ArnosGrove,PMPeak,2420,754,1536,130,122,0,1,518,576,322,753,11,109,6
509,ArnosGrove,Evening,1480,817,658,5,3,0,125,190,452,251,364,59,31,5
509,ArnosGrove,Late,884,439,255,190,193,0,11,79,255,106,158,70,1,10
509,ArnosGrove,Totalday,7168,3044,3498,627,630,3,219,974,1633,1057,1763,399,267,223
510,Arsenal,Early,24,0,0,24,24,0,0,0,0,0,0,0,0,0
510,Arsenal,AMpeak,445,292,134,18,18,0,37,4,154,135,38,0,25,33
510,Arsenal,Midday,1033,297,735,0,36,0,0,56,297,142,152,39,309,2
510,Arsenal,PMPeak,1337,366,821,151,164,0,5,285,381,181,242,70,0,10
510,Arsenal,Evening,1085,225,721,140,140,0,0,50,527,144,90,119,6,10
510,Arsenal,Late,558,305,215,39,39,0,21,48,250,123,46,19,0,13
510,Arsenal,Totalday,4483,1485,2626,372,421,0,63,443,1608,726,567,247,340,67
511,BakerStreet,Early,1019,0,1,1018,1018,0,0,0,0,1,0,0,0,0
511,BakerStreet,AMpeak,16583,6175,8696,1713,1564,79,136,1519,4226,3300,3461,1678,474,147
511,BakerStreet,Midday,15236,5840,8096,1300,1171,34,1099,2962,2770,1480,3382,1174,638,526
511,BakerStreet,PMPeak,9390,3397,4472,1522,1349,132,50,1257,2050,1826,1724,245,452,307
511,BakerStreet,Evening,3398,1420,1604,375,307,0,109,321,1183,698,657,64,32,28
511,BakerStreet,Late,1381,349,492,540,560,0,26,96,297,274,74,22,21,11
511,BakerStreet,Totalday,47009,17180,23360,6469,5969,245,1421,6155,10526,7578,9298,3183,1616,1018
512,Balham,Early,313,0,0,313,313,0,0,0,0,0,0,0,0,0
512,Balham,AMpeak,3033,988,1849,196,162,32,69,728,607,561,624,161,0,90
512,Balham,Midday,3924,1335,2377,212,111,0,182,856,976,568,712,36,181,301
512,Balham,PMPeak,8616,2852,5662,102,124,0,246,1309,2972,1846,1667,211,116,124
512,Balham,Evening,5511,1786,3579,147,143,0,103,802,2433,1009,842,80,91,7
512,Balham,Late,2540,701,1056,783,768,0,0,421,574,295,453,29,1,0
512,Balham,Totalday,23937,7663,14522,1753,1621,32,600,4116,7562,4280,4297,518,389,523
513,Bank/Monument,Early,6097,19,4,6074,6074,0,0,0,10,2,3,8,0,0
513,Bank/Monument,AMpeak,71393,36723,29205,5464,5136,91,426,6822,20369,16031,15713,4544,1784,478
513,Bank/Monument,Midday,30132,15827,12579,1727,1813,49,944,5877,5201,5217,7440,1573,1099,918
513,Bank/Monument,PMPeak,18552,8323,8952,1278,1251,155,311,3446,4969,2545,3083,1680,535,577
513,Bank/Monument,Evening,5758,2046,3389,323,258,0,147,1807,2101,447,805,131,61,0
