NLC,Station,timePeriod,Total,Male,Female,Notstated,NotStated,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,,,,,,,,,
500,ActonTown,Early,622,0,0,622,622,0,0,0,0,0,0,0,0,0,622,0,0,0,0,0,0,0,0
500,ActonTown,AMpeak,3219,997,1768,454,441,77,0,216,763,531,785,159,211,37,634,0,10,54,2447,58,7,9,0
500,ActonTown,Midday,2436,987,1343,105,117,0,188,352,326,250,633,94,235,242,1140,45,0,18,1176,3,0,54,0
500,ActonTown,PMPeak,1830,842,929,59,25,0,2,146,294,548,302,216,76,221,383,35,0,40,1363,0,9,0,0
500,ActonTown,Evening,621,341,210,70,38,0,39,49,146,200,129,2,17,0,481,0,0,0,132,0,9,0,0
500,ActonTown,Late,214,45,36,133,108,0,0,17,54,2,25,0,0,7,205,0,0,0,8,0,0,1,0
500,ActonTown,Totalday,8941,3213,4287,1442,1351,77,229,781,1582,1531,1873,472,538,507,3465,79,11,112,5125,61,25,63,0
502,Aldgate,Early,234,0,0,234,234,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0
502,Aldgate,AMpeak,2451,1286,1144,21,7,0,52,424,690,561,577,112,28,0,1899,14,12,11,484,0,0,8,23
502,Aldgate,Midday,2791,1347,1339,104,0,0,87,529,578,469,897,76,89,65,2071,0,6,10,671,0,0,1,32
502,Aldgate,PMPeak,6714,3852,2514,349,324,0,45,764,1471,1841,2054,166,42,8,5196,2,7,0,1478,27,0,4,0
502,Aldgate,Evening,1542,959,493,90,54,0,0,48,605,373,393,25,44,1,1421,2,24,0,96,0,0,0,0
502,Aldgate,Late,406,158,62,186,210,0,0,49,37,50,43,14,2,0,354,0,0,0,51,0,0,0,0
502,Aldgate,Totalday,14138,7602,5551,985,829,0,184,1814,3381,3294,3964,392,206,73,11175,18,50,21,2780,27,0,13,55
503,AldgateEast,Early,291,7,4,280,280,0,0,0,4,7,0,0,0,0,291,0,0,0,0,0,0,0,0
503,AldgateEast,AMpeak,3293,1266,1751,277,233,0,90,702,1297,453,478,0,40,0,3293,0,0,0,0,0,0,0,0
503,AldgateEast,Midday,6060,3326,2013,721,534,0,416,1032,1434,778,1329,181,130,227,6060,0,0,0,0,0,0,0,0
503,AldgateEast,PMPeak,7755,1954,2128,3674,3541,0,0,413,1233,1158,1302,87,22,0,7755,0,0,0,0,0,0,0,0
503,AldgateEast,Evening,2897,945,1251,701,727,0,0,336,742,364,692,35,0,0,2897,0,0,0,0,0,0,0,0
503,AldgateEast,Late,1157,421,126,610,610,0,0,199,116,136,97,0,0,0,1157,0,0,0,0,0,0,0,0
503,AldgateEast,Totalday,21453,7918,7272,6263,5925,0,507,2682,4825,2895,3898,302,192,227,21453,0,0,0,0,0,0,0,0
505,Alperton,Early,543,4,32,506,506,0,0,7,30,0,0,0,0,0,543,0,0,0,0,0,0,0,0
505,Alperton,AMpeak,1824,841,947,36,38,2,93,172,512,456,387,16,10,137,814,174,0,0,837,0,0,0,0
505,Alperton,Midday,1110,585,491,34,34,0,39,311,177,273,184,18,36,38,842,0,0,0,267,1,0,0,0
505,Alperton,PMPeak,901,449,445,6,6,0,47,241,135,154,200,73,22,22,697,0,0,0,204,0,0,0,0
505,Alperton,Evening,328,257,7,64,64,0,0,205,40,1,3,7,1,8,316,0,0,0,13,0,0,0,0
505,Alperton,Late,112,10,34,68,68,0,0,0,0,8,3,31,3,0,103,0,0,0,9,0,0,0,0
505,Alperton,Totalday,4817,2146,1957,713,716,2,179,935,894,892,778,145,72,206,3314,174,0,0,1329,1,0,0,0
506,Amersham,Early,514,0,0,514,514,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0
506,Amersham,AMpeak,1566,886,598,81,91,3,3,127,197,302,545,135,14,149,1258,20,0,0,282,5,0,0,0
506,Amersham,Midday,408,249,140,19,46,0,97,3,11,43,97,70,32,8,408,0,0,0,0,0,0,0,0
506,Amersham,PMPeak,81,52,20,9,9,0,2,3,16,14,33,1,3,0,81,0,0,0,0,0,0,0,0
506,Amersham,Evening,50,22,16,11,11,0,6,0,0,2,20,11,0,0,50,0,0,0,0,0,0,0,0
506,Amersham,Late,9,0,0,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
506,Amersham,Totalday,2627,1209,774,644,680,3,107,133,224,361,696,216,50,157,2319,20,0,0,282,5,0,0,0
507,Angel,Early,393,0,0,393,393,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0
507,Angel,AMpeak,4887,2370,2478,39,105,24,112,718,2144,699,813,120,130,23,4887,0,0,0,0,0,0,0,0
507,Angel,Midday,7932,2836,4722,374,490,4,1104,1763,1639,912,1588,105,101,226,7932,0,0,0,0,0,0,0,0
507,Angel,PMPeak,10300,4165,5748,387,368,0,864,3120,2377,1408,1632,249,57,225,10300,0,0,0,0,0,0,0,0
507,Angel,Evening,5029,2197,2678,154,181,4,108,1578,1571,626,752,141,25,42,5029,0,0,0,0,0,0,0,0
507,Angel,Late,3036,917,1047,1072,1060,0,0,523,842,307,245,26,5,27,3036,0,0,0,0,0,0,0,0
507,Angel,Totalday,31578,12486,16673,2419,2598,32,2188,7703,8573,3952,5030,641,318,543,31578,0,0,0,0,0,0,0,0
508,Archway,Early,641,0,0,641,641,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0,0,0,0
508,Archway,AMpeak,6412,2387,3641,384,285,9,69,659,2535,963,1002,351,367,172,2754,7,32,8,3582,0,0,23,5
508,Archway,Midday,4502,1889,2395,217,34,17,230,525,474,870,1280,327,377,368,772,68,11,81,3083,50,0,116,320
508,Archway,PMPeak,3267,958,2309,1,1,16,21,578,845,393,889,188,109,227,475,48,0,13,2696,0,21,5,8
508,Archway,Evening,1191,341,850,0,0,0,15,196,350,291,195,29,99,16,364,7,0,0,805,0,0,15,0
508,Archway,Late,379,200,87,92,92,0,0,49,76,30,108,21,0,3,200,0,0,0,179,0,0,0,0
508,Archway,Totalday,16392,5775,9282,1335,1054,42,335,2007,4280,2548,3474,916,952,785,5206,131,43,103,10346,50,21,161,333
509,ArnosGrove,Early,653,0,0,653,653,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0
509,ArnosGrove,AMpeak,3023,1011,1737,275,251,0,188,437,574,643,642,156,119,14,3023,0,0,0,0,0,0,0,0
509,ArnosGrove,Midday,1849,869,914,65,41,0,192,511,316,117,260,128,161,123,1849,0,0,0,0,0,0,0,0
509,ArnosGrove,PMPeak,1233,483,500,251,154,0,120,85,163,286,167,106,7,143,1233,0,0,0,0,0,0,0,0
509,ArnosGrove,Evening,400,76,215,109,120,0,0,0,174,22,19,63,0,2,400,0,0,0,0,0,0,0,0
509,ArnosGrove,Late,116,27,3,86,89,0,0,0,12,16,0,0,0,0,116,0,0,0,0,0,0,0,0
509,ArnosGrove,Totalday,7274,2467,3368,1439,1308,0,499,1033,1238,1084,1089,453,287,282,7274,0,0,0,0,0,0,0,0
510,Arsenal,Early,188,0,0,188,188,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0
510,Arsenal,AMpeak,2307,1142,1129,36,15,43,34,58,967,399,309,313,97,72,220,25,11,66,1956,0,0,5,24
510,Arsenal,Midday,1171,599,492,80,31,19,48,42,408,152,191,131,92,58,508,11,0,0,590,0,0,58,3
510,Arsenal,PMPeak,653,296,351,6,0,0,0,171,257,64,86,16,29,29,453,0,0,0,200,0,0,0,0
510,Arsenal,Evening,211,98,113,0,0,9,0,64,57,55,24,0,0,1,182,0,0,0,29,0,0,0,0
510,Arsenal,Late,80,24,19,36,36,0,0,1,15,24,4,0,0,0,63,0,0,0,17,0,0,0,0
510,Arsenal,Totalday,4611,2160,2104,347,270,71,83,336,1704,694,614,460,219,159,1614,36,11,66,2793,0,0,63,27
511,BakerStreet,Early,691,0,1,690,690,0,0,0,1,0,0,0,0,0,690,0,0,0,1,0,0,0,0
511,BakerStreet,AMpeak,7773,4074,3423,276,243,77,162,346,1299,1537,2396,1077,300,335,543,189,97,74,6731,59,0,47,34
511,BakerStreet,Midday,12912,4563,5382,2966,2930,0,582,1444,1243,1007,2885,1114,1004,702,4353,302,61,95,7892,2,162,43,2
511,BakerStreet,PMPeak,16646,4021,8003,4622,4556,235,243,1217,1830,2056,4997,696,652,165,4996,109,105,0,11147,0,120,45,126
511,BakerStreet,Evening,6433,1582,2309,2541,2490,21,89,586,763,771,1283,110,247,73,2859,68,11,5,3478,0,0,1,11
511,BakerStreet,Late,1817,206,377,1235,1235,0,3,39,292,61,154,2,23,10,1528,0,5,0,272,0,12,0,0
511,BakerStreet,Totalday,46272,14447,19496,12329,12144,333,1079,3632,5428,5432,11714,2998,2226,1285,14970,667,277,174,29520,61,294,136,172
512,Balham,Early,1385,0,0,1385,1385,0,0,0,0,0,0,0,0,0,1385,0,0,0,0,0,0,0,0
512,Balham,AMpeak,11484,4040,6727,718,721,19,284,1477,4558,2041,1829,347,179,29,6188,16,12,6,5167,7,21,16,52
512,Balham,Midday,4572,1626,2809,137,91,25,214,678,1255,1017,666,215,167,242,1706,28,44,28,2664,1,0,8,94
512,Balham,PMPeak,3733,842,2533,358,358,0,0,384,1098,666,1029,79,1,119,1320,12,96,0,2192,0,0,0,113
512,Balham,Evening,1528,386,1098,44,38,0,0,632,626,113,85,8,0,26,646,0,0,2,881,0,0,0,0
512,Balham,Late,567,247,108,213,212,0,0,122,158,38,17,14,5,0,495,0,0,0,71,1,0,0,0
512,Balham,Totalday,23269,7142,13274,2853,2805,44,497,3293,7696,3876,3627,662,352,417,11739,56,152,35,10975,10,21,24,258
513,Bank/Monument,Early,1729,18,19,1691,1691,0,0,0,10,8,9,10,0,0,1729,0,0,0,0,0,0,0,0
513,Bank/Monument,AMpeak,17435,8845,8213,377,207,0,407,2135,4280,3569,4324,1780,688,43,4432,309,22,98,12020,179,61,0,314
513,Bank/Monument,Midday,30823,14383,13797,2642,2915,0,1222,3885,5650,4487,8259,2509,1361,535,9728,368,235,248,19472,5,65,57,645
513,Bank/Monument,PMPeak,64703,25655,25814,13234,13365,0,733,5465,12222,11842,16596,2418,1410,652,23144,273,336,120,39491,128,52,59,1100
513,Bank/Monument,Evening,26934,11296,10609,5030,4913,0,79,2769,6227,5509,5831,513,755,339,12219,39,62,50,13970,67,8,102,418
513,Bank/Monument,Late,9432,2595,2894,3943,3943,0,37,848,1729,1056,966,105,734,15,6948,20,11,21,2415,0,0,0,18
513,Bank/Monument,Totalday,151055,62793,61345,26917,27034,0,2477,15101,30118,26472,35985,7336,4947,1585,58199,1009,666,538,87367,379,186,217,2495
501,Barbican,Early,120,2,0,118,118,0,0,0,0,2,0,0,0,0,118,0,0,0,2,0,0,0,0
501,Barbican,AMpeak,1446,626,803,16,32,0,33,74,263,353,425,61,134,70,38,0,19,0,1367,12,0,0,10
501,Barbican,Midday,4870,1921,2374,576,586,0,71,794,734,685,1143,250,257,350,890,218,44,148,3391,116,0,31,34
501,Barbican,PMPeak,9420,3876,5004,541,406,88,380,742,1922,2151,2734,595,238,163,1296,20,98,67,7838,0,0,72,29
501,Barbican,Evening,3062,1692,1241,129,110,57,28,217,816,670,714,206,141,102,215,47,15,0,2554,37,59,66,68
501,Barbican,Late,1191,692,358,141,117,0,37,201,57,216,344,74,50,95,636,0,14,0,541,0,0,0,0
501,Barbican,Totalday,20109,8809,9780,1521,1370,145,549,2028,3793,4076,5362,1186,821,780,3195,285,189,215,15693,165,59,169,141
514,Barking,Early,4511,30,26,4455,4455,0,0,0,8,11,14,23,0,0,4511,0,0,0,0,0,0,0,0
514,Barking,AMpeak,9205,3890,3738,1578,1576,32,541,748,1401,2193,1776,555,353,31,6349,0,64,5,2325,0,415,36,11
514,Barking,Midday,7348,2566,2585,2197,2249,1,291,546,692,1139,1390,293,358,388,5904,36,8,0,1174,31,0,0,193
514,Barking,PMPeak,6413,2196,2576,1640,1601,1,237,1011,741,817,1706,258,37,5,4187,0,47,16,1828,0,0,76,259
514,Barking,Evening,3306,1226,1194,886,862,0,140,483,440,270,891,33,185,1,2762,0,0,0,458,0,0,24,61
514,Barking,Late,876,324,102,450,449,0,0,35,19,166,193,14,0,0,872,0,0,0,5,0,0,0,0
514,Barking,Totalday,31660,10232,10221,11207,11192,34,1209,2823,3300,4596,5970,1177,933,426,24586,36,119,21,5790,31,415,136,525
515,Barkingside,Early,483,0,0,483,483,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0
515,Barkingside,AMpeak,1303,413,667,223,111,0,0,247,280,222,411,13,0,17,1303,0,0,0,0,0,0,0,0
515,Barkingside,Midday,531,178,175,178,188,0,38,22,85,94,36,27,0,40,531,0,0,0,0,0,0,0,0
515,Barkingside,PMPeak,359,47,267,45,45,0,32,0,195,44,44,0,0,0,359,0,0,0,0,0,0,0,0
515,Barkingside,Evening,77,29,0,47,47,0,0,0,28,0,1,0,0,0,77,0,0,0,0,0,0,0,0
515,Barkingside,Late,17,0,0,16,16,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
515,Barkingside,Totalday,2769,668,1109,992,891,0,71,270,588,359,492,41,0,58,2769,0,0,0,0,0,0,0,0
516,BaronsCourt,Early,324,0,0,324,324,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0
