NLC,Station,timePeriod,Total,Commuter,Leisure,Tourist,Notknown
500,ActonTown,Early,283,0,0,0,283
500,ActonTown,AMpeak,2024,1486,71,44,422
500,ActonTown,Midday,1828,991,560,42,235
500,ActonTown,PMPeak,2770,1874,718,27,151
500,ActonTown,Evening,1749,1131,570,2,46
500,ActonTown,Late,950,228,366,0,357
500,ActonTown,Totalday,9604,5710,2285,115,1495
502,Aldgate,Early,359,2,0,0,357
502,Aldgate,AMpeak,6207,5264,139,94,709
502,Aldgate,Midday,2975,1845,447,306,377
502,Aldgate,PMPeak,2780,1642,533,77,529
502,Aldgate,Evening,994,494,199,12,289
502,Aldgate,Late,290,136,111,0,43
502,Aldgate,Totalday,13604,9383,1429,489,2304
503,AldgateEast,Early,428,0,0,0,428
503,AldgateEast,AMpeak,7579,6858,41,77,604
503,AldgateEast,Midday,5466,3157,1094,454,762
503,AldgateEast,PMPeak,4012,1842,1055,55,1061
503,AldgateEast,Evening,2155,1077,673,162,244
503,AldgateEast,Late,1054,248,431,20,356
503,AldgateEast,Totalday,20696,13182,3292,767,3454
505,Alperton,Early,122,0,0,0,122
505,Alperton,AMpeak,855,548,119,0,188
505,Alperton,Midday,987,492,389,63,42
505,Alperton,PMPeak,1857,1235,299,183,140
505,Alperton,Evening,783,418,343,0,21
505,Alperton,Late,377,36,300,0,42
505,Alperton,Totalday,4981,2729,1451,246,555
506,Amersham,Early,50,0,0,0,50
506,Amersham,AMpeak,364,112,41,9,202
506,Amersham,Midday,448,158,254,2,33
506,Amersham,PMPeak,614,416,194,0,4
506,Amersham,Evening,466,404,61,0,0
506,Amersham,Late,432,28,212,0,192
506,Amersham,Totalday,2374,1118,763,12,481
507,Angel,Early,426,0,0,0,426
507,Angel,AMpeak,10128,8598,593,159,777
507,Angel,Midday,8891,4732,3385,220,553
507,Angel,PMPeak,7102,3206,3169,137,590
507,Angel,Evening,3877,1924,1491,43,420
507,Angel,Late,1357,261,472,30,594
507,Angel,Totalday,31781,18721,9110,589,3361
508,Archway,Early,196,0,0,0,196
508,Archway,AMpeak,2618,1892,172,85,469
508,Archway,Midday,3361,1680,1362,121,198
508,Archway,PMPeak,4787,3440,1149,41,157
508,Archway,Evening,3175,1801,1216,17,140
508,Archway,Late,1672,462,726,24,461
508,Archway,Totalday,15809,9275,4625,289,1620
509,ArnosGrove,Early,92,0,0,0,92
509,ArnosGrove,AMpeak,872,490,104,63,215
509,ArnosGrove,Midday,1421,464,690,58,208
509,ArnosGrove,PMPeak,2420,1670,478,11,260
509,ArnosGrove,Evening,1480,1122,314,35,9
509,ArnosGrove,Late,884,354,338,0,192
509,ArnosGrove,Totalday,7168,4100,1924,168,976
510,Arsenal,Early,24,0,0,0,24
510,Arsenal,AMpeak,445,400,0,7,38
510,Arsenal,Midday,1033,431,289,80,233
510,Arsenal,PMPeak,1337,682,408,30,217
510,Arsenal,Evening,1085,439,476,45,125
510,Arsenal,Late,558,68,380,72,39
510,Arsenal,Totalday,4483,2021,1553,233,676
511,BakerStreet,Early,1019,1,0,0,1018
511,BakerStreet,AMpeak,16583,13887,846,238,1613
511,BakerStreet,Midday,15236,7610,4058,1691,1878
511,BakerStreet,PMPeak,9390,4343,2546,534,1967
511,BakerStreet,Evening,3398,1824,1240,12,323
511,BakerStreet,Late,1381,260,535,36,550
511,BakerStreet,Totalday,47009,27925,9224,2510,7349
512,Balham,Early,313,0,0,0,313
512,Balham,AMpeak,3033,2515,269,0,249
512,Balham,Midday,3924,2388,1357,80,100
512,Balham,PMPeak,8616,6222,1921,303,169
512,Balham,Evening,5511,3553,1473,35,450
512,Balham,Late,2540,780,1038,0,722
512,Balham,Totalday,23937,15458,6058,418,2002
513,Bank/Monument,Early,6097,21,2,0,6074
513,Bank/Monument,AMpeak,71393,61305,2043,2481,5564
513,Bank/Monument,Midday,30132,16214,8936,2539,2442
513,Bank/Monument,PMPeak,18552,9161,5403,1942,2047
513,Bank/Monument,Evening,5758,3009,2034,170,545
513,Bank/Monument,Late,2475,659,568,169,1078
513,Bank/Monument,Totalday,134408,90369,18986,7302,17750
501,Barbican,Early,645,0,0,0,645
501,Barbican,AMpeak,10349,8169,474,226,1480
501,Barbican,Midday,5593,3305,1745,305,238
501,Barbican,PMPeak,2834,863,1318,66,587
501,Barbican,Evening,1089,348,456,68,217
501,Barbican,Late,352,50,104,0,198
501,Barbican,Totalday,20861,12735,4096,665,3365
514,Barking,Early,928,7,0,0,921
514,Barking,AMpeak,5149,4051,477,110,510
514,Barking,Midday,5242,1857,1199,109,2078
514,Barking,PMPeak,9410,4230,698,237,4245
514,Barking,Evening,4361,2205,788,65,1303
514,Barking,Late,1645,413,244,8,981
514,Barking,Totalday,26736,12762,3407,529,10038
515,Barkingside,Early,23,0,0,0,23
515,Barkingside,AMpeak,360,173,137,0,50
515,Barkingside,Midday,381,292,87,2,1
515,Barkingside,PMPeak,1212,1157,37,0,18
515,Barkingside,Evening,426,260,101,0,65
515,Barkingside,Late,165,139,9,0,17
515,Barkingside,Totalday,2569,2021,372,2,175
516,BaronsCourt,Early,113,0,0,0,113
516,BaronsCourt,AMpeak,3626,3219,54,0,353
516,BaronsCourt,Midday,2254,1538,597,38,81
516,BaronsCourt,PMPeak,2517,1635,767,63,53
516,BaronsCourt,Evening,1864,1047,581,39,196
516,BaronsCourt,Late,911,177,520,0,213
516,BaronsCourt,Totalday,11284,7616,2519,141,1009
517,Bayswater,Early,62,0,0,0,62
517,Bayswater,AMpeak,734,700,22,4,7
517,Bayswater,Midday,1805,575,777,330,122
517,Bayswater,PMPeak,1762,671,462,328,302
517,Bayswater,Evening,1219,457,347,222,193
517,Bayswater,Late,584,81,140,74,290
517,Bayswater,Totalday,6166,2484,1749,957,975
518,Becontree,Early,80,0,0,0,80
518,Becontree,AMpeak,464,355,50,0,59
518,Becontree,Midday,1151,371,326,171,284
518,Becontree,PMPeak,2521,1110,156,79,1176
518,Becontree,Evening,1147,275,119,159,595
518,Becontree,Late,469,42,25,0,403
518,Becontree,Totalday,5833,2152,676,409,2596
519,BelsizePark,Early,147,0,0,0,147
519,BelsizePark,AMpeak,2625,1698,443,214,270
519,BelsizePark,Midday,2805,1183,1310,192,120
519,BelsizePark,PMPeak,2091,1031,870,58,132
519,BelsizePark,Evening,1661,784,844,25,8
519,BelsizePark,Late,723,138,285,24,275
519,BelsizePark,Totalday,10051,4834,3753,512,952
787,Bermondsey,Early,695,166,0,0,529
787,Bermondsey,AMpeak,3684,2538,64,101,982
787,Bermondsey,Midday,2953,1198,1140,3,613
787,Bermondsey,PMPeak,4676,2593,947,159,977
787,Bermondsey,Evening,3218,1903,656,142,517
787,Bermondsey,Late,1599,559,652,9,379
787,Bermondsey,Totalday,16825,8956,3457,415,3996
520,BethnalGreen,Early,618,0,0,0,618
520,BethnalGreen,AMpeak,4304,3328,229,71,675
520,BethnalGreen,Midday,5354,1885,2229,160,1080
520,BethnalGreen,PMPeak,6262,2710,1254,583,1716
520,BethnalGreen,Evening,4861,2103,1317,216,1225
520,BethnalGreen,Late,2532,499,1109,0,924
520,BethnalGreen,Totalday,23931,10526,6138,1029,6238
521,Blackfriars,Early,748,1,0,0,748
521,Blackfriars,AMpeak,13557,12038,301,327,890
521,Blackfriars,Midday,5479,3128,1376,623,352
521,Blackfriars,PMPeak,4432,2398,607,122,1305
521,Blackfriars,Evening,1105,788,168,6,144
521,Blackfriars,Late,318,69,152,0,97
521,Blackfriars,Totalday,25639,18422,2604,1079,3535
522,BlackhorseRoad,Early,84,0,0,0,84
522,BlackhorseRoad,AMpeak,1174,945,54,0,174
522,BlackhorseRoad,Midday,1727,738,702,63,223
522,BlackhorseRoad,PMPeak,5353,3845,372,312,824
522,BlackhorseRoad,Evening,3068,1813,670,9,576
522,BlackhorseRoad,Late,1405,424,406,0,576
522,BlackhorseRoad,Totalday,12811,7765,2204,385,2457
524,BondStreet,Early,1783,15,0,4,1764
524,BondStreet,AMpeak,21109,16970,1613,606,1919
524,BondStreet,Midday,23484,7403,12891,1871,1319
524,BondStreet,PMPeak,11896,2991,6717,569,1620
524,BondStreet,Evening,3468,1333,1589,127,419
524,BondStreet,Late,687,287,186,58,156
524,BondStreet,Totalday,62427,28999,22995,3235,7197
525,Borough,Early,152,0,0,0,151
525,Borough,AMpeak,3567,3043,212,28,285
525,Borough,Midday,2505,1131,982,281,112
525,Borough,PMPeak,1566,844,342,87,293
525,Borough,Evening,980,666,285,23,6
525,Borough,Late,518,70,265,9,174
525,Borough,Totalday,9287,5754,2085,427,1021
526,BostonManor,Early,73,0,0,0,73
526,BostonManor,AMpeak,810,520,86,0,204
526,BostonManor,Midday,704,217,222,161,103
526,BostonManor,PMPeak,1013,737,207,53,16
526,BostonManor,Evening,636,366,186,0,85
526,BostonManor,Late,330,58,90,19,163
526,BostonManor,Totalday,3567,1898,790,234,645
