StationName,NLC,Operator,EntriesStandard,EntriesReduced,EntriesSeasons,ExitsStandard,ExitsReduced,ExitsSeasons,TotalEntriesandExits
AbbeyWood,5131,HU,97651,230854,717520,49260,247779,717520,2060584
Aber,3813,HL,11745,17507,14504,12945,17509,14504,88714
Abercynon,3801,HL,5581,14876,4876,6099,14883,4876,51191
Abercynon(Cynon,3803,HL,6494,10720,4317,6503,10722,4317,43073
Aberdare,3982,HL,18871,48845,11993,18384,48859,11993,158945
Aberdeen,8976,HA,226572,488956,70109,206712,488112,70109,1550570
Aberdour,9090,HA,10455,13450,15140,11326,13453,15140,78964
Aberdovey,4435,HG,4171,6220,5,4132,6405,5,20938
Abererch,4440,HG,194,46,0,223,50,0,513
Abergavenny,3602,HK,30293,74143,12625,32953,74001,12625,236640
Abergele&Pensn,2448,HD,8151,24484,4511,9539,24639,4511,75835
Aberystwth,4303,HG,21716,71900,465,20285,71193,465,186024
Accrington,2552,HD,32290,49722,10028,36191,49986,10028,188245
Achanalt,8600,HA,128,60,0,87,61,0,336
Achnasheen,8601,HA,638,617,0,713,612,0,2580
Achnashellach,8602,HA,153,215,0,239,215,0,822
Acklington,7662,HC,274,39,234,159,39,234,979
Acle,7286,HS,12987,4267,2611,15558,4264,2611,42298
AcocksGreen,4529,HG,32861,33236,640,31142,33047,640,131566
ActonBridge,2287,HG,1841,838,886,1901,844,886,7196
ActonCentral,1404,HP,22755,38877,17650,23190,40212,17650,160334
ActonMainLine,3000,HN,12085,17224,20591,10822,20083,20591,101396
AdderleyPark,1036,HG,8539,10375,66,9204,10370,66,38620
Addiewell,9310,HA,1618,1101,552,2023,1101,552,6947
Addiscombe,5045,HU,230,259,219,392,386,219,1705
Addlestone,5550,HY,27044,37765,47222,24442,41386,47222,225081
Adisham,5160,HU,1721,5482,14687,1513,6389,14687,44479
AdlingtonChes,2939,HD,3023,3099,1005,3647,3104,1005,14883
AdlingtonLancs,2641,HD,22077,10496,10555,23267,10509,10555,87459
Adwick,8353,HC,17379,19355,8514,16003,18868,8514,88633
Aigburth,2255,HE,27372,32284,1467,32194,40297,1467,135081
Ainsdale,2350,HE,38900,72760,1285,34976,72974,1285,222180
Aintree,2125,HE,43094,66873,1792,44793,77726,1792,236070
Airbles,9695,HA,12473,7913,736,12857,7913,736,42628
Airdrie,9759,HA,135679,126336,82783,140039,126323,82783,693943
AlbanyPark,5132,HU,43024,45984,219889,21926,55381,219889,606093
Albrighton,4614,HG,9691,5812,5475,10276,5904,5475,42633
AlderleyEdge,2760,HD,29170,28281,12096,28227,28301,12096,138171
