Station,Rank,Station Entries,Station Exits,"Prioritised for investment, by band.",Station proritised as a geographical filler.,Current Accessibility,,,,,
,,,Station Exits,,,Step-free access,PA,CIS,Station staffing,Overall accessibility,
London Bridge,1,"39,694,456","41,079,297",1,,Part,จน,จน,Full,Part,
London Waterloo,2,"33,857,325","34,574,013",,,Full,จน,จน,Full,Full,
London Victoria,3,"30,628,887","31,018,870",,,Full,จน,จน,Full,Full,
London Kings Cross,4,"23,989,317","25,148,376",,,Full,จน,จน,Full,Full,
London Liverpool Street,5,"19,843,988","19,124,826",,,Full,จน,จน,Full,Full,
London Euston,6,"13,585,027","14,202,208",,,Full,จน,จน,Full,Full,
London Paddington,7,"12,693,885","12,568,619",,,Full,จน,จน,Full,Full,
Glasgow Central,8,"11,618,852","11,339,404",,,Full,จน,จน,Full,Full,
London Fenchurch Street,9,"8,384,271","8,634,900",,,Full,จน,จน,Full,Full,
Clapham Junction,10,"8,353,269","8,768,939",1,,Part,จน,จน,Full,Part,
Manchester Piccadilly,11,"8,021,154","8,229,199",,,Full,จน,จน,Full,Full,
Birmingham N St,12,"7,084,759","7,135,777",,,Full,จน,จน,Full,Full,
East Croydon,13,"6,735,485","6,879,058",1,,Part,จน,จน,Full,Part,
City Thameslink,14,"6,441,454","6,509,684",,,Full,จน,จน,Full,Full,
Reading,15,"6,420,929","6,524,979",,,Full,จน,จน,Full,Full,
Edinburgh,16,"6,293,725","6,177,042",,,Full,จน,จน,Full,Full,
Wimbledon,17,"5,918,415","5,469,685",,,Full,จน,จน,Full,Full,
Leeds,18,"5,654,772","5,630,921",,,Full,จน,จน,Full,Full,
Brighton,19,"5,148,593","5,219,615",,,Full,จน,จน,Full,Full,
Liverpool Lime Street,20,"5,077,131","6,064,338",1,,Part,จน,จน,Full,Part,
Gatwick Airport,21,"4,420,913","4,220,423",,,Full,จน,จน,Full,Full,
Cardiff Central,22,"3,977,244","3,972,151",,,Full,จน,จน,Full,Full,
Richmond London,23,"3,444,535","3,130,636",,,Full,จน,จน,Full,Full,
Chelmsford,24,"3,217,951","3,227,414",,,Full,จน,จน,Full,Full,
Marylebone,25,"3,209,901","3,144,616",,,Full,จน,จน,Full,Full,
Putney,26,"3,134,361","3,156,408",1,,No,จน,จน,Full,Part,
Guildford,27,"3,011,199","3,042,307",1,,Part,จน,จน,Full,Part,
Woking,28,"2,925,966","2,950,230",1,,Part,จน,จน,Full,Part,
Surbiton,29,"2,800,393","2,762,321",,,Full,จน,จน,Full,Full,
London Charing Cross,30,"2,746,175","2,079,726",,,Full,จน,จน,Full,Full,
Cambridge,31,"2,742,837","2,735,275",,,Full,จน,จน,Full,Full,
Nottingham,32,"2,714,759","2,728,896",,,Full,จน,จน,Full,Full,
St Albans,33,"2,700,815","2,682,777",1,,Part,จน,จน,Full,Part,
Ealing Broadway,34,"2,625,702","2,631,318",1,,No,จน,จน,Full,Part,
Romford,35,"2,613,600","2,595,251",1,,Part,จน,,Full,Part,
Bristol Temple Meads,36,"2,590,543","2,586,575",,,Full,จน,จน,Full,Full,
Barking,37,"2,529,805","2,157,860",,,Full,จน,จน,Full,Full,
York,38,"2,500,244","2,485,152",,,Full,จน,จน,Full,Full,
Newcastle,39,"2,459,693","2,409,969",1,,Part,จน,จน,Full,Part,
Walthamstow Central,40,"2,454,538","2,179,078",1,,Part,จน,,Part,Part,
Bromley South,41,"2,344,985","2,364,269",,,Full,จน,จน,Full,Full,
Sutton London,42,"2,312,045","2,306,758",,,Full,จน,จน,Full,Full,
London St Pancras,43,"2,245,111","2,184,741",,,Insufficient info provided by station operator,,,Full,Part,
Slough,44,"2,202,951","2,223,070",1,,Part,จน,จน,Full,Part,
Southampton Central,45,"2,179,367","2,198,135",,,Full,จน,จน,Full,Full,
Leicester,46,"2,134,106","2,133,285",,,Full,จน,จน,Full,Full,
Sheffield,47,"2,128,662","2,119,159",,,Full,จน,จน,Full,Full,
Colchester,48,"1,991,933","2,013,936",,,Full,จน,จน,Full,Full,
Milton Keynes Central,49,"1,961,059","1,964,039",,,Full,จน,จน,Full,Full,
Watford Junction,50,"1,940,814","1,934,565",,,Full,จน,จน,Full,Full,
Ilford,51,"1,877,753","1,801,282",,,Part,จน,จน,Full,Part,
Basingstoke,52,"1,834,854","1,834,370",,,Part,จน,จน,Full,Part,
Tonbridge,53,"1,828,743","1,810,979",,,Full,จน,จน,Full,Full,
Oxford,54,"1,821,789","1,826,761",,,Full,จน,จน,Full,Full,
Lewisham,55,"1,782,870","1,823,557",1,,Part,จน,จน,Full,Part,
Upminster,56,"1,762,689","1,686,852",,,Full,จน,จน,Full,Full,
Orpington,57,"1,749,734","1,733,564",1,,Part,จน,จน,Part,Part,
Haywards Heath,58,"1,722,757","1,725,833",,,Full,จน,จน,Full,Full,
Peterborough,59,"1,691,286","1,695,294",1,,Part,,,Full,Part,
Bath Spa,60,"1,673,508","1,659,163",1,,Part,จน,จน,Part,Part,
Stevenage,61,"1,639,869","1,627,162",,,Full,จน,จน,Full,Full,
Maidenhead,62,"1,636,203","1,655,730",1,,Part,จน,จน,Full,Part,
Finsbury Park,63,"1,627,162","1,379,703",1,,No,จน,จน,Full,Part,
Sevenoaks,64,"1,626,678","1,640,708",,,Full,จน,จน,Full,Full,
Earlsfield,65,"1,608,730","1,611,176",1,,No,,จน,Part,Part,
Epsom,66,"1,602,713","1,594,041",1,,Part,จน,จน,Full,Part,
Tunbridge Wells,67,"1,507,976","1,519,571",1,,Part,,จน,Full,Part,
Stansted Airport,68,"1,476,956","1,501,815",,,Full,จน,จน,Full,Full,
Luton,69,"1,473,354","1,506,640",1,,Part,จน,จน,Full,Part,
Winchester,70,"1,470,853","1,471,791",1,,Part,จน,จน,Full,Part,
Balham,71,"1,460,199","1,450,191",1,,No,จน,จน,Part,Part,
Redhill,72,"1,454,155","1,463,512",1,,Part,จน,จน,Part,Part,
Chatham,73,"1,434,884","1,444,603",1,,Part,จน,จน,Full,Part,
Portsmouth & Southsea,74,"1,423,654","1,496,854",,,Full,จน,จน,Full,Full,
Preston,75,"1,396,347","1,383,419",,,Full,จน,จน,Full,Full,
Eastbourne,76,"1,376,029","1,381,600",,,Full,จน,จน,Full,Full,
Shenfield,77,"1,357,416","1,343,794",,,Full,จน,จน,Full,Full,
Billericay,78,"1,357,310","1,361,332",,,Full,จน,จน,Part,Part,
Dartford,79,"1,356,672","1,359,001",,,Full,จน,จน,Full,Full,
New Cross,80,"1,348,852","1,234,130",1,,Part,จน,จน,Part,Part,
Bedford,81,"1,321,062","1,331,294",,,Full,จน,จน,Full,Full,
Twickenham,82,"1,308,179","1,320,998",1,,Part,จน,จน,Full,Part,
Kingston,83,"1,296,601","1,346,182",1,,Part,จน,จน,Full,Part,
Paisley Gilmour St,84,"1,283,947","1,276,028",,,Full,จน,จน,Full,Full,
Southend Central,85,"1,265,063","1,339,302",,,Full,จน,จน,Part,Part,
Stratford London,86,"1,241,538","1,355,852",,,Full,จน,จน,Full,Full,
New Cross Gate,87,"1,238,503","1,030,791",1,,No,จน,จน,Full,Part,
Kings Cross Thameslink,88,"1,225,560","1,136,159",1,,No,จน,จน,Full,Part,
Abbey Wood,89,"1,225,282","1,200,118",,,Full,จน,จน,Part,Part,
Harpenden,90,"1,222,696","1,206,756",1,,Part,จน,จน,Part,Part,
Benfleet,91,"1,222,279","1,225,085",,,Full,จน,จน,Part,Part,
Sidcup,92,"1,217,671","1,203,479",,,Full,จน,จน,Insufficient info provided by station operator,Part,
Glasgow Queen Street,93,"1,206,306","822,567",1,,Part,จน,จน,Full,Part,
Woolwich Arsenal,94,"1,205,806","1,155,026",,,Full,จน,จน,Full,Full,
Derby,95,"1,202,503","1,195,784",,,Full,จน,จน,Full,Full,
Norwich,96,"1,196,989","1,154,247",,,Full,จน,จน,Full,Full,
Brentwood,97,"1,188,279","1,173,360",1,,Part,จน,จน,Part,Part,
Peckham Rye,98,"1,184,929","1,178,565",2,,No,จน,จน,Full,Part,
Coventry,99,"1,178,914","1,170,755",,,Full,จน,จน,Full,Full,
Doncaster,100,"1,172,871","1,174,713",,,Full,จน,จน,Full,Full,
Raynes Park,101,"1,162,489","1,108,035",2,,Part,จน,จน,Full,Part,
Blackheath,102,"1,148,855","1,132,090",2,,Part,จน,จน,Part,Part,
Grays,103,"1,126,344","1,106,995",,,Part,จน,จน,Part,Part,
Bexleyheath,104,"1,117,715","1,108,674",,,Full,จน,จน,Part,Part,
Witham,105,"1,085,714","1,087,829",,,Full,จน,จน,Full,Full,
Hither Green,106,"1,085,667","1,052,046",2,,Part,จน,จน,Full,Part,
Bishops Stortford,107,"1,084,301","1,082,374",,,Full,จน,จน,Full,Full,
Chester,108,"1,083,384","1,079,698",,,Full,จน,จน,Full,Full,
Forest Hill,109,"1,078,267","1,047,524",2,,Part,จน,จน,Part,Part,
Farnborough Main,110,"1,070,617","1,076,311",2,,Part,จน,จน,Insufficient info provided by station operator,Part,
London Cannon Street,111,"1,052,878","877,385",,,Full,จน,จน,Full,Full,
Swindon,112,"1,052,290","1,064,794",2,,Part,จน,จน,Full,Part,
Bournemouth,113,"1,050,951","1,057,215",,,Full,จน,จน,Full,Full,
Ashford Kent,114,"1,037,152","1,035,148",,,Full,จน,จน,Full,Full,
Chichester,115,"1,035,704","1,016,846",2,,Part,จน,จน,Full,Part,
Lewes,116,"1,029,941","1,026,117",2,,Part,จน,จน,Full,Part,
Wickford,117,"1,024,489","1,025,865",2,,Part,จน,จน,Full,Part,
Didcot Parkway,118,"1,017,399","1,019,286",,,Full,จน,จน,Full,Full,
Rayleigh,119,"1,016,412","1,018,186",2,,Part,จน,จน,Part,Part,
Norwood Junction,120,"1,011,658","1,004,227",2,,Part,จน,จน,Full,Part,
Ipswich,121,"1,008,970","1,013,576",,,Part,จน,จน,Full,Part,
Gravesend,122,"1,002,545","1,006,475",,,Full,จน,จน,Full,Full,
Birmingham Intl,123,"997,869","960,347",,,Full,จน,จน,Full,Full,
Basildon,124,"986,217","975,192",,,Full,จน,จน,Part,Part,
Streatham Common,125,"985,916","990,540",2,,No,จน,จน,Part,Part,
Worthing,126,"978,831","978,997",2,,Part,จน,จน,Full,Part,
