Station Name, County, Region,TOC, NLC Code, Entries Standard, Entries Reduced, Entries Season,Total Entries, Exits Standard, Exits Reduced, Exits Season,Total Exits, All Entries & Exits 0405,Interchanges,Change
Waterloo, Greater London , London ,South West Trains,5598,"5,245,660","9,994,031","15,887,448","31,127,139","5,520,560","9,853,781","15,887,448","31,261,790","62,388,929","3,953,885",Decline
Liverpool Street, Greater London , London ,one,6965,"4,122,820","5,769,205","15,281,438","25,173,463","4,289,246","5,725,063","15,281,438","25,295,746","50,469,209","1,476,438",Growth
Victoria, Greater London , London ,Southern,5426,"4,161,324","7,778,439","12,112,915","24,052,678","4,021,887","7,859,387","12,112,915","23,994,190","48,046,867","3,551,921",Decline
London Bridge, Greater London , London ,South Eastern,5148,"2,560,150","3,707,439","12,085,048","18,352,637","2,903,439","3,678,936","12,085,048","18,667,423","37,020,060","6,316,136",Decline
Charing Cross, Greater London , London ,South Eastern,5143,"1,888,189","3,775,071","8,668,996","14,332,255","2,001,398","3,819,425","8,668,996","14,489,819","28,822,074","1,684,836",Growth
Glasgow Central, Glasgow City , Scotland ,First ScotRail,9813,"4,416,119","5,262,311","3,550,035","13,228,465","4,639,680","5,588,143","3,550,035","13,777,858","27,006,323","1,086,638",Growth
Euston, Greater London , London ,Virgin West Coast,1444,"2,614,233","6,014,675","4,220,480","12,849,388","3,088,806","6,097,519","4,220,480","13,406,805","26,256,193","1,461,424",Decline
Paddington, Greater London , London ,Great Western,3087,"2,691,046","5,745,357","4,426,499","12,862,902","2,797,708","5,701,037","4,426,499","12,925,244","25,788,145","1,384,430",Growth
King's Cross, Greater London , London ,GNER,6121,"2,285,661","4,967,805","3,199,877","10,453,343","2,188,938","4,963,820","3,199,877","10,352,636","20,805,979","2,019,584",Decline
Manchester Piccadilly, Greater Manchester , North West and Merseysid ,Virgin West Coast,2968,"2,100,257","5,928,819","1,333,826","9,362,902","2,377,045","5,885,149","1,333,826","9,596,020","18,958,922","1,099,441",Growth
Cannon Street, Greater London , London ,South Eastern,5142,"554,326","560,374","7,577,395","8,692,095","642,268","548,640","7,577,395","8,768,303","17,460,399","135,224",Growth
Birmingham New Street, West Midlands , West Midlands ,Virgin West Coast,1127,"2,646,508","5,082,390","379,825","8,108,723","2,692,867","5,062,497","379,825","8,135,189","16,243,912","2,868,177",Growth
Fenchurch Street, Greater London , London ,c2c,7490,"1,107,584","1,234,978","5,612,511","7,955,073","1,283,696","1,234,832","5,612,511","8,131,039","16,086,112","226,369",Decline
East Croydon, Greater London , London ,Southern,5355,"1,415,494","1,956,348","3,901,251","7,273,093","1,534,751","2,030,526","3,901,251","7,466,528","14,739,621","3,912,974",Growth
Leeds, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8487,"2,659,598","3,899,559","805,476","7,364,633","2,729,339","3,834,054","805,476","7,368,869","14,733,503","1,527,873",Growth
Edinburgh, Edinburgh City , Scotland ,GNER,9328,"1,773,099","3,649,170","1,650,679","7,072,948","1,788,431","3,707,713","1,650,679","7,146,823","14,219,772","617,653",Growth
Liverpool Lime Street, Merseyside , North West and Merseysid ,Northern Rail,2246,"2,302,849","4,111,712","100,841","6,515,402","2,797,499","4,121,457","100,841","7,019,797","13,535,200","268,805",Growth
Reading, Berkshire , South East ,Great Western,3149,"1,547,219","2,960,999","2,091,713","6,599,931","1,645,135","2,960,247","2,091,713","6,697,095","13,297,027","2,267,360",Growth
Clapham Junction, Greater London , London ,South West Trains,5595,"1,401,646","1,596,010","3,125,825","6,123,481","1,711,482","1,589,247","3,125,825","6,426,554","12,550,035","8,682,661",Decline
Wimbledon, Greater London , London ,South West Trains,5578,"1,417,778","1,476,073","3,323,276","6,217,128","1,074,886","1,477,151","3,323,276","5,875,313","12,092,440","445,721",Growth
