NLC,TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,"NUTS2 Spatial
Unit Code",NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,London Joint Station,"Entries
Full","Entries
Reduced","Entries
Season","Entries
Total","Exits
Full","Exits
Reduced","Exits
Season","Exits
Total","0809
Entries & Exits","0708
Entries & Exits","0809
Interchanges",Check,Check Detail,Check Reason
5131,ABW,Abbey Wood,London,Greater London,Greenwich,UKI2,Outer London,Southeastern,,,London Travelcard Area Station,,"196,743","348,317","969,528","1,514,588","196,743","348,317","969,528","1,514,588","3,029,176","3,096,498",0,,,
3813,ABE,Aber,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"24,043","22,754","49,293","96,090","24,043","22,754","49,293","96,090","192,180","183,136",0,,,
3801,ACY,Abercynon,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"29,464","42,031","25,587","97,082","29,464","42,031","25,587","97,082","194,164","383,236","28,775",Check,Decline of more than 12% ,
3982,ABA,Aberdare,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"67,730","117,510","67,762","253,002","67,730","117,510","67,762","253,002","506,004","471,586",0,,,
8976,ABD,Aberdeen,Scotland,Aberdeen City,Aberdeen City,UKM5,North Eastern Scotland,First ScotRail,,,,,"424,687","681,147","178,571","1,284,405","424,687","681,147","178,571","1,284,405","2,568,810","2,470,281","162,526",,,
9090,AUR,Aberdour,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,,,"18,696","28,067","17,274","64,037","18,696","28,067","17,274","64,037","128,074","121,724",0,,,
4435,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"9,774","2,895",40,"12,709","9,774","2,895",40,"12,709","25,418","25,093",0,,,
4440,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,599,30,0,629,599,30,0,629,"1,258","1,261",0,,,
3602,AGV,Abergavenny,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,,,"44,257","90,701","23,035","157,993","44,257","90,701","23,035","157,993","315,986","309,871",0,,,
2448,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"9,262","21,979","3,907","35,148","9,262","21,979","3,907","35,148","70,296","64,015",0,,,
4303,AYW,Aberystwyth,Wales - Cymru,Ceredigion - Sir Ceredigion,Ceredigion - Sir Ceredigion,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"62,526","73,085","1,094","136,705","62,526","73,085","1,094","136,705","273,410","269,070",0,,,
2552,ACR,Accrington,North West,Lancashire,Hyndburn,UKD4,Lancashire,Northern Rail,,,,,"81,108","37,397","19,321","137,826","81,108","37,397","19,321","137,826","275,652","259,944",0,,,
8600,AAT,Achanalt,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,97,18,0,115,97,18,0,115,230,208,0,,,
8601,ACN,Achnasheen,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,"1,058",543,0,"1,601","1,058",543,0,"1,601","3,202","2,974",0,,,
8602,ACH,Achnashellach,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,232,91,0,323,232,91,0,323,646,655,0,,,
7662,ACK,Acklington,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,,,219,15,155,389,219,15,155,389,778,948,0,Check,"Ignore - Less than 15,000 E&X",
