NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources
5131,ABW,Abbey Wood,London,Greater London,Greenwich,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 274,204 "," 385,667 "," 907,266 "," 1,567,137 "," 274,204 "," 385,667 "," 907,266 "," 1,567,137 "," 3,134,274 "," 3,030,212 ", -   ,0,0,,
3813,ABE,Aber,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 48,670 "," 4,852 "," 48,206 "," 101,728 "," 48,670 "," 4,852 "," 48,206 "," 101,728 "," 203,456 "," 202,486 ", -   ,0,0,,
3801,ACY,Abercynon,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 77,667 "," 5,163 "," 37,205 "," 120,035 "," 77,667 "," 5,163 "," 37,205 "," 120,035 "," 240,070 "," 214,492 "," 35,304 ",1,0,Continues high growth from previous year,
3982,ABA,Aberdare,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 164,324 "," 17,853 "," 86,597 "," 268,774 "," 164,324 "," 17,853 "," 86,597 "," 268,774 "," 537,548 "," 524,592 ", -   ,0,0,,
8976,ABD,Aberdeen,Scotland,Aberdeen City,Aberdeen City,UKM1,North Eastern Scotland,First ScotRail,,,," 500,499 "," 829,571 "," 255,043 "," 1,585,113 "," 500,499 "," 829,571 "," 255,043 "," 1,585,113 "," 3,170,226 "," 2,964,302 "," 197,046 ",0,0,,
9090,AUR,Aberdour,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,," 17,111 "," 28,489 "," 17,403 "," 63,003 "," 17,111 "," 28,489 "," 17,403 "," 63,003 "," 126,006 "," 129,786 ", -   ,0,0,,
4435,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 12,854 "," 5,494 ", -   ," 18,348 "," 12,854 "," 5,494 ", -   ," 18,348 "," 36,696 "," 32,190 ", -   ,1,0,Continues high growth from previous year,
4440,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,, 631 , 262 , -   , 893 , 631 , 262 , -   , 893 ," 1,786 "," 1,620 ", -   ,0,0,,
3602,AGV,Abergavenny,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,," 92,683 "," 63,921 "," 28,994 "," 185,598 "," 92,683 "," 63,921 "," 28,994 "," 185,598 "," 371,196 "," 357,326 ", -   ,0,0,,
2448,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 23,144 "," 15,276 "," 3,824 "," 42,244 "," 23,144 "," 15,276 "," 3,824 "," 42,244 "," 84,488 "," 76,650 ", -   ,1,0,Continues high growth from previous year,
